,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
2738,a_a003186,A01,a003186,자가용,09
2739,a_a001798,A03,a001798,자가용,09
2740,a_a003301,A03,a003301,자가용,10
2741,a_a004598,A01,a004598,자가용,10
2742,a_a000166,A03,a000166,대중교통 등,08
2743,b_b006455,A03,b006455,,10
2744,a_a004263,A03,a004263,자가용,10
2745,a_a006175,A03,a006175,자가용,10
2746,a_a017993,A03,a017993,,11
2747,a_a007617,A01,a007617,,10
2748,a_a004864,A03,a004864,자가용,10
2749,a_a001875,A03,a001875,자가용,09
2750,a_a017946,A03,a017946,,11
2751,c_c006214,A01,c006214,,10
2752,a_a005913,A03,a005913,자가용,10
2753,c_c000580,A03,c000580,자가용,09
2754,a_a006893,A03,a006893,자가용,10
2755,a_a004745,A01,a004745,대중교통 등,09
2756,a_a002021,A03,a002021,자가용,09
2757,a_a004332,A03,a004332,,10
2758,a_a001934,A02,a001934,대중교통 등,09
2759,b_b006019,A02,b006019,,10
2760,a_a002193,A03,a002193,자가용,09
2761,a_a000135,A03,a000135,자가용,08
2762,a_a003362,A03,a003362,자가용,10
2763,a_a006288,A03,a006288,,10
2764,a_a018100,A03,a018100,,11
2765,a_a002844,A03,a002844,자가용,09
2766,a_a015175,A01,a015175,대중교통 등,10
2767,a_a003219,A01,a003219,대중교통 등,10
2768,a_a011866,A01,a011866,대중교통 등,10
2769,a_a002204,A03,a002204,대중교통 등,09
2770,c_c004037,A01,c004037,,10
2771,a_a015266,A03,a015266,자가용,10
2772,a_a001354,A03,a001354,자가용,09
2773,a_a014727,A01,a014727,대중교통 등,10
2774,a_a000537,A01,a000537,자가용,09
2775,a_a002698,A01,a002698,대중교통 등,09
2776,a_a008046,A03,a008046,,10
2777,a_a005034,A03,a005034,대중교통 등,10
2778,a_a000084,A01,a000084,대중교통 등,08
2779,a_a002531,A03,a002531,자가용,09
2780,a_a003747,A03,a003747,자가용,10
2781,a_a005159,A03,a005159,,10
2782,a_a005039,A03,a005039,자가용,10
2783,a_a002381,A03,a002381,자가용,09
2784,a_a000306,A03,a000306,자가용,08
2785,a_a005828,A03,a005828,자가용,10
2786,a_a001785,A01,a001785,대중교통 등,10
2787,a_a002702,A03,a002702,자가용,09
2788,a_a007621,A01,a007621,,10
2789,a_a003657,A03,a003657,자가용,10
2790,a_a011510,A03,a011510,대중교통 등,10
2791,a_a006041,A01,a006041,,10
2792,a_a017655,A01,a017655,,11
2793,a_a002317,A03,a002317,자가용,09
2794,a_a018012,A03,a018012,,11
2795,a_a005419,A03,a005419,자가용,10
2796,a_a018010,A01,a018010,,11
2797,a_a002859,A01,a002859,대중교통 등,09
2798,a_a001475,A03,a001475,자가용,08
2799,a_a006202,A03,a006202,자가용,10
2800,a_a006051,A01,a006051,대중교통 등,10
2801,a_a002988,A01,a002988,대중교통 등,09
2802,a_a006013,A03,a006013,,10
2803,a_a007364,A03,a007364,,10
2804,a_a011479,A03,a011479,대중교통 등,10
2805,a_a007345,A03,a007345,,10
2806,a_a009651,A03,a009651,대중교통 등,10
2807,a_a002890,A03,a002890,자가용,09
2808,a_a007307,A01,a007307,,10
2809,a_a006651,A03,a006651,대중교통 등,10
2810,a_a010240,A03,a010240,자가용,10
2811,a_a015383,A03,a015383,자가용,10
2812,a_a011237,A03,a011237,대중교통 등,10
2813,a_a005348,A03,a005348,자가용,10
2814,a_a003066,A01,a003066,대중교통 등,09
2815,a_a001801,A03,a001801,대중교통 등,09
2816,a_a007939,A01,a007939,,10
2817,a_a015136,A01,a015136,대중교통 등,10
2818,a_a001213,A02,a001213,자가용,08
2819,c_c003912,A03,c003912,자가용,10
2820,a_a002050,A03,a002050,자가용,09
2821,a_a007182,A03,a007182,자가용,10
2822,a_a012377,A01,a012377,대중교통 등,10
2823,a_a001636,A01,a001636,대중교통 등,09
2824,a_a014380,A01,a014380,대중교통 등,10
2825,a_a010396,A01,a010396,대중교통 등,10
2826,a_a017863,A01,a017863,,11
2827,a_a006993,A02,a006993,자가용,10
2828,a_a000545,A03,a000545,자가용,08
2829,a_a001774,A03,a001774,대중교통 등,09
2830,a_a010227,A01,a010227,대중교통 등,10
2831,a_a003729,A03,a003729,대중교통 등,10
2832,a_a017517,A03,a017517,,11
2833,a_a004184,A03,a004184,자가용,10
2834,a_a006547,A03,a006547,,10
2835,a_a007645,A03,a007645,,10
2836,b_b015583,A03,b015583,자가용,10
2837,a_a002380,A01,a002380,대중교통 등,09
2838,a_a017772,A03,a017772,,11
2839,a_a006394,A03,a006394,대중교통 등,10
2840,a_a001835,A03,a001835,자가용,09
2841,a_a000658,A01,a000658,자가용,09
2842,a_a002735,A02,a002735,자가용,10
2843,a_a003905,A03,a003905,대중교통 등,10
2844,a_a003226,A01,a003226,대중교통 등,10
2845,a_a007258,A01,a007258,,10
2846,a_a000771,A03,a000771,대중교통 등,08
2847,a_a005273,A03,a005273,자가용,10
2848,a_a007379,A03,a007379,,10
2849,a_a010291,A03,a010291,대중교통 등,10
2850,a_a006282,A01,a006282,,10
2851,a_a007483,A03,a007483,자가용,10
2852,a_a005107,A03,a005107,자가용,10
2853,a_a014874,A03,a014874,자가용,10
2854,a_a017709,A01,a017709,,11
2855,c_c004673,A03,c004673,,10
2856,a_a003668,A03,a003668,대중교통 등,10
2857,a_a001867,A03,a001867,대중교통 등,09
2858,a_a010060,A03,a010060,자가용,11
2859,a_a000954,A03,a000954,자가용,08
2860,a_a008107,A01,a008107,대중교통 등,10
2861,a_a000276,A01,a000276,자가용,08
2862,a_a004274,A03,a004274,,10
2863,a_a015818,A03,a015818,자가용,11
2864,a_a003593,A03,a003593,자가용,10
2865,a_a017900,A03,a017900,,11
2866,a_a001170,A03,a001170,자가용,09
2867,a_a004884,A03,a004884,자가용,10
2868,a_a004186,A03,a004186,자가용,09
2869,a_a018109,A01,a018109,,11
2870,a_a003127,A02,a003127,대중교통 등,10
2871,a_a000746,A01,a000746,대중교통 등,08
2872,a_a003735,A02,a003735,자가용,09
2873,a_a005292,A02,a005292,대중교통 등,10
2874,a_a008034,A03,a008034,,10
2875,a_a003952,A03,a003952,자가용,10
2876,a_a005126,A01,a005126,,10
2877,a_a007224,A01,a007224,,10
2878,a_a000613,A02,a000613,대중교통 등,08
2879,a_a014484,A03,a014484,자가용,10
2880,b_b005303,A03,b005303,자가용,10
2881,a_a005717,A03,a005717,자가용,10
2882,a_a005460,A03,a005460,자가용,10
2883,a_a010131,A03,a010131,자가용,10
2884,a_a004349,A03,a004349,대중교통 등,10
2885,c_c005232,A03,c005232,자가용,10
2886,a_a007321,A01,a007321,,10
2887,a_a004099,A03,a004099,자가용,10
2888,a_a001384,A01,a001384,대중교통 등,08
2889,a_a008701,A01,a008701,대중교통 등,10
2890,a_a000087,A01,a000087,자가용,08
2891,a_a005469,A03,a005469,자가용,10
2892,a_a018112,A03,a018112,,11
2893,a_a014163,A03,a014163,자가용,10
2894,a_a002848,A03,a002848,대중교통 등,09
2895,a_a001534,A03,a001534,자가용,08
2896,a_a002631,A03,a002631,대중교통 등,09
2897,a_a005876,A03,a005876,자가용,10
2898,a_a013588,A03,a013588,대중교통 등,10
2899,a_a007196,A03,a007196,,10
2900,a_a005133,A03,a005133,,10
2901,a_a003364,A01,a003364,자가용,10
2902,b_b005459,A02,b005459,대중교통 등,10
2903,a_a006166,A02,a006166,대중교통 등,10
2904,a_a002712,A01,a002712,대중교통 등,10
2905,a_a007091,A03,a007091,자가용,10
2906,a_a005392,A03,a005392,자가용,10
2907,a_a003782,A03,a003782,자가용,10
2908,a_a007216,A03,a007216,,10
2909,a_a002358,A03,a002358,자가용,10
2910,a_a017984,A03,a017984,,11
2911,a_a017794,A03,a017794,,11
2912,a_a003871,A03,a003871,자가용,10
2913,a_a000182,A01,a000182,대중교통 등,08
2914,a_a006386,A03,a006386,자가용,10
2915,a_a002102,A03,a002102,대중교통 등,09
2916,a_a009613,A03,a009613,자가용,10
2917,a_a018138,A03,a018138,,11
2918,a_a004747,A01,a004747,자가용,10
2919,a_a017622,A03,a017622,,11
2920,a_a005170,A03,a005170,,10
2921,a_a011463,A03,a011463,자가용,10
2922,a_a010958,A01,a010958,대중교통 등,10
2923,a_a002721,A03,a002721,자가용,10
2924,a_a005947,A01,a005947,대중교통 등,10
2925,a_a005811,A01,a005811,대중교통 등,10
2926,a_a017970,A03,a017970,,11
2927,a_a009891,A01,a009891,대중교통 등,10
2928,a_a017669,A01,a017669,,11
2929,a_a010251,A01,a010251,대중교통 등,10
2930,a_a010542,A01,a010542,자가용,10
2931,a_a001870,A03,a001870,자가용,09
2932,a_a007252,A03,a007252,,10
2933,a_a006421,A03,a006421,대중교통 등,10
2934,a_a000976,A01,a000976,대중교통 등,09
2935,a_a003977,A02,a003977,대중교통 등,10
2936,a_a004880,A03,a004880,자가용,10
2937,a_a004583,A03,a004583,대중교통 등,10
2938,a_a008435,A03,a008435,,10
2939,a_a006004,A01,a006004,,10
2940,a_a005670,A03,a005670,,10
2941,a_a004051,A01,a004051,대중교통 등,10
2942,a_a004102,A03,a004102,대중교통 등,10
2943,a_a005686,A03,a005686,,10
2944,a_a007548,A03,a007548,대중교통 등,10
2945,a_a000165,A03,a000165,대중교통 등,08
2946,a_a000219,A03,a000219,자가용,08
2947,a_a004306,A03,a004306,,10
2948,a_a007786,A01,a007786,대중교통 등,10
2949,a_a001167,A01,a001167,자가용,08
2950,a_a001152,A03,a001152,자가용,08
2951,a_a006485,A03,a006485,자가용,10
2952,a_a002589,A03,a002589,자가용,09
2953,a_a007913,A03,a007913,자가용,10
2954,a_a003476,A03,a003476,자가용,09
2955,a_a007730,A03,a007730,자가용,11
2956,a_a002127,A01,a002127,자가용,09
2957,a_a007753,A01,a007753,대중교통 등,10
2958,a_a003818,A03,a003818,대중교통 등,10
2959,a_a009594,A03,a009594,자가용,10
2960,a_a002762,A03,a002762,자가용,09
2961,a_a014172,A03,a014172,대중교통 등,10
2962,a_a002917,A03,a002917,자가용,09
2963,a_a012513,A03,a012513,자가용,10
2964,a_a010286,A01,a010286,대중교통 등,10
2965,a_a002943,A03,a002943,자가용,09
2966,a_a007616,A01,a007616,,10
2967,a_a002274,A03,a002274,자가용,10
2968,a_a006019,A03,a006019,,10
2969,a_a000906,A01,a000906,대중교통 등,08
2970,a_a015349,A03,a015349,자가용,10
2971,a_a002154,A03,a002154,대중교통 등,09
2972,a_a002044,A02,a002044,대중교통 등,09
2973,a_a006823,A01,a006823,대중교통 등,10
2974,a_a011550,A03,a011550,자가용,10
2975,a_a014106,A03,a014106,대중교통 등,10
2976,a_a003723,A01,a003723,대중교통 등,10
2977,a_a007165,A03,a007165,자가용,10
2978,a_a014226,A01,a014226,대중교통 등,10
2979,b_b006609,A03,b006609,,10
2980,a_a007953,A03,a007953,,10
2981,a_a007496,A03,a007496,대중교통 등,10
2982,a_a007820,A03,a007820,자가용,10
2983,a_a017864,A01,a017864,,11
2984,a_a008224,A01,a008224,대중교통 등,10
2985,a_a006880,A01,a006880,자가용,10
2986,a_a006182,A03,a006182,자가용,10
2987,a_a006535,A03,a006535,,10
2988,a_a004739,A03,a004739,대중교통 등,10
