,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,TRAVEL_NM,MVMN_NM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS,TRAVEL_PURPOSE,TRAVEL_MISSION
3707,3454,a_a003127,a003127,플레이아쿠아리움 부천,경기 부천시 상동 572-1,90.0,6,0.0,5.0,5.0,5.0,10,A02,대중교통 등,2,1,7,2,2,6,1.0,0.0,0.0,28;5;,28;5;
3708,1384,a_a003127,a003127,부천역북부광장,경기 부천시 심곡동,30.0,8,0.0,4.0,3.0,3.0,10,A02,대중교통 등,2,1,7,2,2,6,1.0,0.0,0.0,28;5;,28;5;
3709,3204,a_a003127,a003127,캐치스톤클라이밍짐,경기 부천시 심곡동 175-6,240.0,5,0.0,5.0,5.0,5.0,10,A02,대중교통 등,2,1,7,2,2,6,1.0,0.0,0.0,28;5;,28;5;
3710,1061,a_a000116,a000116,롯데월드타워,서울 송파구 신천동 29,120.0,6,1.0,4.0,4.0,4.0,08,A01,대중교통 등,4,3,4,2,6,3,1.0,0.0,0.0,1;2;23;4;6;,1;
3711,68,a_a000116,a000116,IFC몰,서울 영등포구 여의도동 23-1,30.0,4,1.0,3.0,3.0,3.0,08,A01,대중교통 등,4,3,4,2,6,3,1.0,0.0,0.0,1;2;23;4;6;,1;
3712,823,a_a000116,a000116,더현대서울,서울 영등포구 여의도동 22,0.0,4,1.0,3.0,3.0,3.0,08,A01,대중교통 등,4,3,4,2,6,3,1.0,0.0,0.0,1;2;23;4;6;,1;
3713,1970,a_a000116,a000116,스타필드 코엑스몰,서울 강남구 삼성동 159-9,30.0,4,1.0,4.0,4.0,4.0,08,A01,대중교통 등,4,3,4,2,6,3,1.0,0.0,0.0,1;2;23;4;6;,1;
3714,1022,a_a000116,a000116,롯데백화점 본점,서울 중구 소공동 1,0.0,4,1.0,3.0,3.0,3.0,08,A01,대중교통 등,4,3,4,2,6,3,1.0,0.0,0.0,1;2;23;4;6;,1;
3715,1148,a_a000116,a000116,명동거리,서울 중구 명동2가,0.0,4,1.0,3.0,3.0,3.0,08,A01,대중교통 등,4,3,4,2,6,3,1.0,0.0,0.0,1;2;23;4;6;,1;
3716,2784,a_a000116,a000116,이회영기념관,서울 중구 예장동 4-1,0.0,3,0.0,3.0,3.0,3.0,08,A01,대중교통 등,4,3,4,2,6,3,1.0,0.0,0.0,1;2;23;4;6;,1;
