,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,TRAVEL_NM,MVMN_NM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS,TRAVEL_PURPOSE,TRAVEL_MISSION
3623,2498,a_a002762,a002762,용문천년시장,경기 양평군 용문면 다문리 732-3,30.0,4,0.0,3.0,3.0,3.0,09,A03,자가용,2,2,1,2,6,6,2.0,0.0,0.0,11;5;9;,11;5;9;
3624,707,a_a002762,a002762,농업회사법인 연천양조,경기 연천군 군남면 삼거리 201,60.0,13,0.0,4.0,4.0,4.0,09,A03,자가용,2,2,1,2,6,6,2.0,0.0,0.0,11;5;9;,11;5;9;
3625,2896,a_a002762,a002762,임진강주상절리카약,경기 연천군 미산면 동이리 67-1,120.0,13,0.0,1.0,4.0,4.0,09,A03,자가용,2,2,1,2,6,6,2.0,0.0,0.0,11;5;9;,11;5;9;
3626,2363,a_a002762,a002762,연천수레울아트홀,경기 연천군 연천읍 옥산리 320,0.0,13,0.0,5.0,4.0,4.0,09,A03,자가용,2,2,1,2,6,6,2.0,0.0,0.0,11;5;9;,11;5;9;
3627,2492,a_a002762,a002762,용문사,경기 양평군 용문면 신점리 625,150.0,1,1.0,4.0,4.0,4.0,09,A03,자가용,2,2,1,2,6,6,2.0,0.0,0.0,11;5;9;,11;5;9;
3628,3521,a_a011203,a011203,한국근현대사박물관,경기 파주시 탄현면 법흥리 1652-10,60.0,2,0.0,5.0,4.0,5.0,10,A03,자가용,3,1,6,2,1,7,2.0,0.0,0.0,22;24;3;4;6;,22;24;3;4;6;
3629,1333,a_a011203,a011203,벽초지수목원,경기 파주시 광탄면 창만리 166-8,30.0,1,0.0,3.0,3.0,3.0,10,A03,자가용,3,1,6,2,1,7,2.0,0.0,0.0,22;24;3;4;6;,22;24;3;4;6;
3630,1097,a_a011203,a011203,마장호수,경기 파주시 광탄면 기산리 451-2,60.0,7,1.0,5.0,4.0,5.0,10,A03,자가용,3,1,6,2,1,7,2.0,0.0,0.0,22;24;3;4;6;,22;24;3;4;6;
3631,2550,a_a002335,a002335,웅진플레이도시,경기 부천시 상동 572-1,480.0,6,0.0,4.0,4.0,5.0,09,A03,자가용,1,3,4,3,3,2,3.0,1.0,0.0,10;,10;
3632,834,a_a001926,a001926,덕수궁돌담길,서울 중구 정동 5-1,30.0,2,0.0,5.0,5.0,5.0,09,A01,대중교통 등,1,3,4,4,2,4,1.0,0.0,0.0,21;26;4;6;7;,21;26;4;6;7;
3633,15,a_a001926,a001926,63빌딩 에릭요한슨 사진전,,60.0,3,0.0,5.0,4.0,5.0,09,A01,대중교통 등,1,3,4,4,2,4,1.0,0.0,0.0,21;26;4;6;7;,21;26;4;6;7;
3634,415,a_a001926,a001926,광화문광장,서울 종로구 세종로 1-68,30.0,4,0.0,4.0,4.0,4.0,09,A01,대중교통 등,1,3,4,4,2,4,1.0,0.0,0.0,21;26;4;6;7;,21;26;4;6;7;
3635,3716,a_a001926,a001926,홍대패션거리,서울 마포구 서교동 348-78,60.0,4,1.0,4.0,4.0,4.0,09,A01,대중교통 등,1,3,4,4,2,4,1.0,0.0,0.0,21;26;4;6;7;,21;26;4;6;7;
3636,829,a_a001926,a001926,덕수궁,서울 중구 정동 5-1,60.0,2,0.0,5.0,5.0,5.0,09,A01,대중교통 등,1,3,4,4,2,4,1.0,0.0,0.0,21;26;4;6;7;,21;26;4;6;7;
3637,258,a_a001926,a001926,경복궁,서울 종로구 세종로 1-91,60.0,2,0.0,5.0,5.0,5.0,09,A01,대중교통 등,1,3,4,4,2,4,1.0,0.0,0.0,21;26;4;6;7;,21;26;4;6;7;
3638,2324,a_a001926,a001926,여의도한강공원,서울 영등포구 여의도동 85,60.0,1,0.0,4.0,5.0,4.0,09,A01,대중교통 등,1,3,4,4,2,4,1.0,0.0,0.0,21;26;4;6;7;,21;26;4;6;7;
3639,2011,a_a001957,a001957,신대호수,경기 수원시 영통구 하동,30.0,7,1.0,4.0,4.0,4.0,09,A03,자가용,3,5,2,3,5,4,3.0,0.0,0.0,1;22;25;,1;22;25;
3640,2564,a_a001957,a001957,원천호수,경기 수원시 영통구 하동,60.0,1,1.0,3.0,5.0,5.0,09,A03,자가용,3,5,2,3,5,4,3.0,0.0,0.0,1;22;25;,1;22;25;
3641,2549,a_a015776,a015776,운현궁,서울 종로구 운니동 114-10,60.0,2,0.0,4.0,3.0,4.0,11,A01,대중교통 등,6,3,6,6,2,5,2.0,0.0,0.0,1;12;13;3;5;,1;12;13;3;5;
3642,1060,a_a015776,a015776,롯데월드아쿠아리움,서울 송파구 신천동 29,90.0,6,0.0,5.0,5.0,5.0,11,A01,대중교통 등,6,3,6,6,2,5,2.0,0.0,0.0,1;12;13;3;5;,1;12;13;3;5;
3643,829,a_a015776,a015776,덕수궁,서울 중구 정동 5-1,30.0,2,0.0,5.0,4.0,5.0,11,A01,대중교통 등,6,3,6,6,2,5,2.0,0.0,0.0,1;12;13;3;5;,1;12;13;3;5;
3644,2319,a_a015776,a015776,여의도공원,서울 영등포구 여의도동 2,30.0,1,0.0,4.0,3.0,3.0,11,A01,대중교통 등,6,3,6,6,2,5,2.0,0.0,0.0,1;12;13;3;5;,1;12;13;3;5;
3645,327,a_a015776,a015776,고척스카이돔,서울 구로구 고척동 63-6,210.0,5,0.0,5.0,5.0,5.0,11,A01,대중교통 등,6,3,6,6,2,5,2.0,0.0,0.0,1;12;13;3;5;,1;12;13;3;5;
3646,2923,a_a015776,a015776,잠실한강공원,서울 송파구 잠실동 1-1,30.0,1,0.0,5.0,5.0,4.0,11,A01,대중교통 등,6,3,6,6,2,5,2.0,0.0,0.0,1;12;13;3;5;,1;12;13;3;5;
3647,415,a_a015776,a015776,광화문광장,서울 종로구 세종로 1-68,30.0,4,0.0,4.0,3.0,3.0,11,A01,대중교통 등,6,3,6,6,2,5,2.0,0.0,0.0,1;12;13;3;5;,1;12;13;3;5;
3648,938,a_a003793,a003793,디원골프연습장,경기 남양주시 호평동 23-15,120.0,5,1.0,5.0,5.0,5.0,09,A03,자가용,2,6,2,6,2,4,2.0,0.0,0.0,1;21;5;,1;21;5;
3649,449,a_a003793,a003793,국군복지단 충일마트,경기 남양주시 이패동 280,30.0,4,0.0,5.0,5.0,5.0,09,A03,자가용,2,6,2,6,2,4,2.0,0.0,0.0,1;21;5;,1;21;5;
3650,34,a_a004387,a004387,CGV DRIVE IN 곤지암,경기 광주시 도척면 도웅리 540,240.0,3,0.0,4.0,4.0,5.0,10,A03,자가용,2,1,5,1,7,4,2.0,0.0,0.0,2;21;22;,2;21;22;
3651,3726,a_a004387,a004387,화담숲,경기 광주시 도척면 도웅리 산 33,180.0,1,0.0,5.0,4.0,4.0,10,A03,자가용,2,1,5,1,7,4,2.0,0.0,0.0,2;21;22;,2;21;22;
3652,489,a_a002115,a002115,국립현대미술관 서울관,서울 종로구 소격동 165-10,60.0,3,0.0,4.0,3.0,4.0,09,A01,대중교통 등,2,1,4,6,4,6,1.0,0.0,0.0,21;22;6;,21;22;6;
3653,216,a_a002115,a002115,갤럭시스튜디오,,60.0,3,0.0,5.0,4.0,5.0,09,A01,대중교통 등,2,1,4,6,4,6,1.0,0.0,0.0,21;22;6;,21;22;6;
3654,1418,a_a002115,a002115,북촌한옥마을,서울 종로구 가회동 31-31,60.0,7,0.0,4.0,3.0,4.0,09,A01,대중교통 등,2,1,4,6,4,6,1.0,0.0,0.0,21;22;6;,21;22;6;
3655,1414,a_a002115,a002115,북촌문화센터,서울 종로구 계동 105,30.0,3,0.0,3.0,3.0,3.0,09,A01,대중교통 등,2,1,4,6,4,6,1.0,0.0,0.0,21;22;6;,21;22;6;
3656,1592,a_a000100,a000100,서울돈화문국악당,서울 종로구 와룡동 13,30.0,2,0.0,5.0,5.0,4.0,08,A01,대중교통 등,2,2,4,4,2,3,3.0,1.0,0.0,1;21;22;3;4;,1;
3657,3143,a_a000100,a000100,청와대 정문,서울 종로구 세종로 1,120.0,2,0.0,5.0,4.0,5.0,08,A01,대중교통 등,2,2,4,4,2,3,3.0,1.0,0.0,1;21;22;3;4;,1;
3658,3752,a_a002739,a002739,화성행궁,경기 수원시 팔달구 남창동 6-2,210.0,2,0.0,3.0,4.0,5.0,10,A03,대중교통 등,4,2,4,6,5,6,1.0,0.0,0.0,1;2;3;4;6;,1;2;3;4;6;
3659,3721,a_a002739,a002739,홍재교,경기 수원시 영통구 이의동,30.0,7,0.0,4.0,3.0,4.0,10,A03,대중교통 등,4,2,4,6,5,6,1.0,0.0,0.0,1;2;3;4;6;,1;2;3;4;6;
3660,2562,a_a001187,a001187,원적산,인천 부평구 산곡동 산 98-2,90.0,7,0.0,5.0,5.0,5.0,08,A02,대중교통 등,2,4,2,4,6,2,1.0,0.0,0.0,1;24;27;28;7;,1;24;27;28;7;
3661,2820,a_a001187,a001187,인천SSG랜더스필드,인천 미추홀구 문학동 482,270.0,5,1.0,5.0,5.0,5.0,08,A02,대중교통 등,2,4,2,4,6,2,1.0,0.0,0.0,1;24;27;28;7;,1;24;27;28;7;
