,VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,VISIT_ID
5467,2210300005,a_a010387,서울대공원 캠핑장,경기 과천시 막계동 산 59-2,270.0,13,1.0,5.0,5.0,5.0,10,1585
5469,2208070003,a_a000041,남이섬,강원 춘천시 남산면 방하리 197,30.0,1,0.0,5.0,5.0,5.0,08,644
5473,2210290002,a_a011616,내마음의숲,경기 양주시 광사동 560-5,150.0,1,0.0,5.0,5.0,5.0,10,660
5477,2208240001,a_a000974,트리플스트리트,인천 연수구 송도동 176-1,30.0,4,1.0,5.0,5.0,5.0,08,3312
5479,2209260005,a_a003436,행궁동벽화마을,경기 수원시 팔달구 북수동,30.0,7,0.0,3.0,1.0,2.0,09,3586
5480,2208200002,a_a000662,동국대학교 서울캠퍼스,서울 중구 필동3가 26-1,30.0,2,0.0,4.0,3.0,3.0,08,865
5486,2210220006,a_a010016,가평레일파크,경기 가평군 가평읍 읍내리 395-1,90.0,13,0.0,5.0,3.0,5.0,10,146
5489,2209240008,a_a003230,인사미술공간,서울 종로구 원서동 90,30.0,3,0.0,3.0,3.0,3.0,09,2796
5511,2210010006,a_a003844,중부수산시장,,30.0,4,0.0,5.0,4.0,4.0,10,3044
5516,2210270002,a_a011502,용산역,서울 용산구 한강로3가 40-999,0.0,8,1.0,5.0,5.0,5.0,10,2505
5517,2211100005,a_a018137,부천호수식물원 수피아,경기 부천시 상동 549,30.0,6,0.0,5.0,5.0,5.0,11,1390
5518,2209250003,a_a003388,수원화성,경기 수원시 장안구 영화동 320-2,30.0,2,0.0,5.0,5.0,4.0,09,1894
5519,2209130002,a_a001895,라베니체 마치에비뉴 2차,경기 김포시 장기동 2026-1,30.0,4,0.0,4.0,4.0,4.0,09,951
5520,2208280006,a_a000215,인천시민애집,인천 중구 송학동1가 2-2,30.0,2,0.0,5.0,5.0,5.0,08,2844
5521,2210150003,a_a005821,수원화성,경기 수원시 장안구 영화동 320-2,30.0,2,0.0,4.0,4.0,4.0,10,1894
5528,2210040006,a_a004370,청계천,서울 종로구 서린동 148,30.0,1,1.0,5.0,5.0,5.0,10,3124
5532,2208170005,a_a000196,광장시장,서울 종로구 예지동 2-1,30.0,4,0.0,3.0,2.0,2.0,08,406
5538,2210220003,a_a009730,행복한캠핑바베큐장,,180.0,13,0.0,5.0,5.0,5.0,10,3592
5546,2210220005,a_a010241,남대문시장,서울 중구 남창동 49-1,30.0,4,1.0,4.0,4.0,4.0,10,613
5548,2210020004,a_a002612,세종충무공이야기,서울 종로구 세종로 81-3,30.0,3,0.0,4.0,4.0,4.0,10,1760
5551,2208230008,a_a000124,허난설헌생가터,강원 강릉시 초당동 475-3,30.0,2,0.0,5.0,5.0,5.0,08,3602
5558,2208280003,a_a000877,봉은사,서울 강남구 삼성동 73,120.0,2,0.0,5.0,5.0,5.0,08,1372
5564,2210300005,a_a008325,하남유니온타워,경기 하남시 신장동 27,60.0,3,0.0,5.0,5.0,5.0,10,3481
5567,2209180003,a_a001621,현대백화점 디큐브시티점,서울 구로구 신도림동 692,90.0,4,1.0,4.0,4.0,3.0,09,3627
5575,2210050006,a_a005749,창경궁,서울 종로구 와룡동 2-1,60.0,2,0.0,5.0,5.0,5.0,10,3082
5576,2209250002,a_a003069,이화여자대학교,서울 서대문구 대현동 11-1,60.0,4,0.0,4.0,4.0,4.0,09,2783
5582,2210290001,a_a009440,소양강스카이워크,강원 춘천시 근화동 8,120.0,1,0.0,4.0,3.0,4.0,10,1786
5585,2210020002,a_a005100,나리공원,,60.0,1,0.0,4.0,5.0,4.0,10,577
5589,2210290006,a_a006965,아침고요가족동물원,경기 가평군 상면 임초리 622-13,60.0,6,0.0,3.0,3.0,3.0,10,2112
5594,2210220006,a_a006306,현대프리미엄아울렛 송도점,인천 연수구 송도동 168-1,60.0,4,1.0,4.0,4.0,4.0,10,3652
5596,2208240002,a_a000906,와룡공원,서울 종로구 명륜3가 53-52,60.0,1,1.0,4.0,4.0,4.0,08,2479
5597,2208300003,a_a001584,코스트코 광명점,경기 광명시 일직동 163-3,60.0,4,0.0,4.0,5.0,4.0,08,3226
5600,2210200007,a_a009792,아이센스리그PC방 응암오거리점,서울 은평구 응암동 590-23,150.0,3,0.0,4.0,4.0,4.0,10,2102
5603,2208170006,a_a000034,북촌한옥마을,서울 종로구 가회동 31-31,30.0,7,1.0,4.0,2.0,3.0,08,1418
5604,2210220004,a_a008359,롯데월드타워,서울 송파구 신천동 29,150.0,13,1.0,4.0,4.0,4.0,10,1061
5605,2208260003,a_a001029,송도코마린웨스트보트하우스,인천광역시 연수구 송도동,60.0,5,0.0,5.0,5.0,5.0,08,1827
5609,2210110005,a_a006316,화성행궁,경기 수원시 팔달구 남창동 6-2,90.0,2,0.0,5.0,5.0,5.0,10,3752
5610,2209290003,a_a002940,서울대공원,경기 과천시 막계동 159-1,180.0,1,0.0,5.0,5.0,5.0,09,1578
5611,2210160002,a_a008457,강남역지하상가,서울 강남구 역삼동 858,30.0,4,1.0,4.0,4.0,4.0,10,179
5615,2210230005,a_a006972,보정동카페거리_ ifing 이프아이엔지,,60.0,4,0.0,5.0,5.0,5.0,10,1355
5616,2210220005,a_a008165,서울광장,서울 중구 태평로1가 54-3,30.0,3,0.0,5.0,5.0,5.0,10,1573
5618,2210280004,a_a008407,하늘공원 가는길,,30.0,7,0.0,4.0,3.0,3.0,10,3485
5622,2210120006,a_a007221,화서공원,경기 수원시 팔달구 화서동 26-35,30.0,7,0.0,4.0,4.0,4.0,10,3736
5630,2211120002,a_a018059,다산생태공원,경기 남양주시 조안면 능내리 56-9,120.0,1,0.0,4.0,4.0,4.0,11,727
5631,2209110003,a_a002165,에버랜드,경기 용인시 처인구 포곡읍 전대리 310,360.0,6,0.0,5.0,5.0,5.0,09,2265
5634,2210300005,a_a013857,구리전통시장,경기 구리시 수택동 394-2,30.0,4,0.0,5.0,4.0,4.0,10,434
5635,2209290005,a_a001892,두타몰,서울 중구 을지로6가 18-12,90.0,4,0.0,4.0,4.0,4.0,09,919
5642,2210230002,a_a007602,북한산,경기 고양시 덕양구 북한동 산 1-1,180.0,7,1.0,5.0,5.0,5.0,10,1423
5644,2209240008,a_a002202,두타몰,서울 중구 을지로6가 18-12,90.0,4,1.0,4.0,4.0,3.0,09,919
5646,2208300001,a_a001216,서울숲,서울 성동구 성수동1가 678-1,30.0,1,0.0,5.0,5.0,5.0,08,1610
5650,2210150001,a_a004643,파주신세계프리미엄아울렛 전기차충전소(테슬라전용),경기 파주시 탄현면 법흥리 1790-8,120.0,4,1.0,5.0,5.0,5.0,10,3341
5651,2211120002,a_a018097,롯데월드타워&롯데월드몰,서울 송파구 신천동 29,90.0,4,1.0,5.0,5.0,5.0,11,1064
5655,2211090005,a_a017965,파주삼릉,경기 파주시 조리읍 봉일천리 3-134,30.0,2,0.0,3.0,2.0,1.0,11,3340
5666,2210160003,a_a007890,화담숲,,90.0,1,0.0,4.0,4.0,4.0,10,3726
5671,2211100009,a_a017753,이마트 의정부점,경기 의정부시 민락동 849,30.0,4,0.0,4.0,4.0,4.0,11,2711
5674,2208270004,a_a001448,현대백화점 압구정본점,서울 강남구 압구정동 429,120.0,4,0.0,5.0,5.0,5.0,08,3632
5678,2210160009,a_a007393,아모레 성수,서울 성동구 성수동2가 277-52,60.0,13,1.0,5.0,5.0,5.0,10,2090
5684,2210220005,a_a010249,삼성화재교통박물관,경기 용인시 처인구 포곡읍 유운리 432,60.0,2,0.0,4.0,2.0,4.0,10,1498
5686,2209230007,a_a003013,전쟁기념관,서울 용산구 용산동1가 8,60.0,3,1.0,5.0,5.0,5.0,09,2960
5687,2210160005,a_a007184,수원월드컵경기장,경기 수원시 팔달구 우만동 227,120.0,5,1.0,5.0,5.0,5.0,10,1882
5688,2209110001,a_a001981,서울광장,서울 중구 태평로1가 54-3,30.0,3,0.0,4.0,3.0,3.0,09,1573
