,Unnamed: 0,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,TRAVEL_NM,MVMN_NM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS,TRAVEL_PURPOSE,TRAVEL_MISSION,RATING,지역 문화예술/공연/전시시설 관람,쇼핑,SNS 인생샷 여행,호캉스 여행,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,유흥/오락(나이트라이프),드라마 촬영지 방문,Well-ness 여행,신규 여행지 발굴,친환경 여행(플로깅 여행),시티투어,지역 축제/이벤트 참가,"야외 스포츠, 레포츠 활동",인플루언서 따라하기 여행,캠핑,온천/스파,교육/체험 프로그램 참가,종교/성지 순례,반려동물 동반 여행
3419,3419,2852,a_a002398,a002398,인천차이나타운,인천 중구 북성동2가 14,30.0,4,1.0,3.0,2.0,3.0,9,A02,대중교통 등,2,1,7,2,2,6,2.0,0.0,0.0,11;2;4;5;9;,11;2;4;5;9;,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3420,3420,1824,a_a002398,a002398,송도센트럴파크 이스트보트하우스,인천 연수구 송도동 24-5,90.0,5,0.0,5.0,5.0,5.0,9,A02,대중교통 등,2,1,7,2,2,6,2.0,0.0,0.0,11;2;4;5;9;,11;2;4;5;9;,16.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3421,3421,2137,a_a012091,a012091,아트원씨어터,서울 종로구 동숭동 1-181,150.0,3,1.0,5.0,5.0,5.0,10,A01,대중교통 등,4,1,4,3,1,6,1.0,0.0,0.0,22;4;6;,22;4;6;,16.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3422,3422,1085,a_a012091,a012091,마로니에공원,서울 종로구 동숭동 1-124,30.0,1,1.0,4.0,4.0,4.0,10,A01,대중교통 등,4,1,4,3,1,6,1.0,0.0,0.0,22;4;6;,22;4;6;,13.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3423,3423,2137,a_a012091,a012091,아트원씨어터,서울 종로구 동숭동 1-181,180.0,3,1.0,5.0,5.0,5.0,10,A01,대중교통 등,4,1,4,3,1,6,1.0,0.0,0.0,22;4;6;,22;4;6;,16.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3424,3424,1085,a_a012091,a012091,마로니에공원,서울 종로구 동숭동 1-124,30.0,1,1.0,4.0,4.0,4.0,10,A01,대중교통 등,4,1,4,3,1,6,1.0,0.0,0.0,22;4;6;,22;4;6;,13.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3425,3425,522,a_a008052,a008052,그랜드워커힐서울 빛의 시어터,0,90.0,3,0.0,4.0,3.0,4.0,10,A01,0,3,3,4,3,3,6,1.0,0.0,0.0,22;6;,22;6;,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3426,3426,1832,a_a008052,a008052,송리단길,서울 송파구 송파동,90.0,4,0.0,4.0,4.0,4.0,10,A01,0,3,3,4,3,3,6,1.0,0.0,0.0,22;6;,22;6;,13.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3427,3427,1064,a_a008052,a008052,롯데월드타워&롯데월드몰,서울 송파구 신천동 29,30.0,4,0.0,4.0,4.0,5.0,10,A01,0,3,3,4,3,3,6,1.0,0.0,0.0,22;6;,22;6;,14.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3428,3428,1692,a_a008052,a008052,석촌호수 동호,서울 송파구 신천동 32,30.0,7,0.0,4.0,5.0,5.0,10,A01,0,3,3,4,3,3,6,1.0,0.0,0.0,22;6;,22;6;,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3429,3429,1061,a_a008702,a008702,롯데월드타워,서울 송파구 신천동 29,60.0,13,1.0,5.0,5.0,5.0,10,A01,대중교통 등,2,1,6,2,2,6,2.0,0.0,0.0,4;6;,4;6;,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3430,3430,2920,a_a008702,a008702,잠실종합운동장 실내체육관,서울 송파구 잠실2동 10,120.0,5,1.0,5.0,5.0,5.0,10,A01,대중교통 등,2,1,6,2,2,6,2.0,0.0,0.0,4;6;,4;6;,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
