,TRAVELER_ID,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY
108,a000877,3,5,4,5,3,7,나홀로 여행
109,a006141,5,6,6,7,2,6,3인 이상 여행(가족 외)
110,a011569,5,2,1,2,1,3,나홀로 여행
111,a014171,1,1,1,7,7,7,자녀 동반 여행
112,a017605,3,5,4,3,2,6,자녀 동반 여행
113,a000342,2,1,2,2,6,2,2인 여행(가족 외)
114,a001143,1,1,1,3,2,3,나홀로 여행
115,a000293,4,3,4,5,6,6,3인 이상 여행(가족 외)
116,d012476,4,4,4,4,4,4,나홀로 여행
117,a005458,1,2,3,3,2,6,2인 가족 여행
118,a002458,2,3,2,6,2,6,3대 동반 여행(친척 포함)
119,a017855,3,4,4,4,4,4,나홀로 여행
120,a008406,3,1,5,3,1,3,3인 이상 여행(가족 외)
121,a006166,3,4,3,2,4,3,3인 이상 여행(가족 외)
122,a002270,2,1,3,3,6,4,2인 여행(가족 외)
123,a000485,4,4,2,4,3,3,나홀로 여행
124,a005610,6,6,2,6,2,2,2인 여행(가족 외)
125,a002737,3,1,6,5,2,4,2인 가족 여행
126,a008194,2,2,3,5,6,7,2인 여행(가족 외)
127,a001305,1,3,7,4,7,6,2인 가족 여행
128,a009555,2,2,1,1,2,4,나홀로 여행
129,a012251,4,3,4,3,6,3,2인 여행(가족 외)
130,a012216,7,7,4,7,6,7,2인 가족 여행
131,a000207,4,5,2,3,2,6,자녀 동반 여행
132,a009815,6,1,6,2,6,6,나홀로 여행
133,a004957,4,2,4,6,4,4,2인 여행(가족 외)
134,b004527,4,2,6,5,2,6,3인 이상 여행(가족 외)
135,a017546,2,1,7,6,3,4,나홀로 여행
136,a004335,4,1,1,4,1,4,자녀 동반 여행
137,a002587,4,2,6,6,2,4,나홀로 여행
138,a007252,6,4,4,6,2,5,3인 이상 여행(가족 외)
139,a008050,7,7,1,1,1,7,나홀로 여행
140,a010380,4,4,4,4,4,4,2인 여행(가족 외)
141,a000110,4,3,2,5,2,5,나홀로 여행
142,a010181,6,6,6,6,6,6,2인 여행(가족 외)
143,a001219,3,4,2,3,3,4,자녀 동반 여행
144,a000635,4,4,4,5,5,7,나홀로 여행
