key,value
3438,프로방스마을
3621,헤이리예술마을
1070,롯데프리미엄아울렛 파주점
3059,지혜의숲
823,더현대서울
1754,세종문화회관
3546,한식문화공간이음
185,강릉중앙시장
3234,코엑스 아쿠아리움
1118,망원시장
1061,롯데월드타워
1064,롯데월드타워&롯데월드몰
1060,롯데월드아쿠아리움
1438,브릭캠퍼스 강릉
3124,청계천
968,러쉬 롯데백화점 본점
3578,해피씨어터
406,광장시장
829,덕수궁
1499,삼송역 3호선
314,고양누리길 서삼릉누리길
2990,제부도 워터워크
2992,제부도해수욕장
1676,서해랑 제부도해상케이블카 전곡정류장
2670,의정부제일시장
2668,의정부역 행복로
1692,석촌호수 동호
1693,석촌호수 서호
2566,원효대교북단교차로
258,경복궁
415,광화문광장
2132,아트스페이스 이색
490,국립현대미술관 서울관 아트샵
489,국립현대미술관 서울관
213,갤러리아백화점 타임월드점
3787,효원공원 월화원
1881,수원영동시장
2906,자라섬재즈페스티벌
3156,청평호
2092,아모레퍼시픽미술관
1489,삼각백빈건널목
1746,세운전자상가
2787,익선동 골목
2549,운현궁
2107,아차산 4보루
2111,아차산큰바위얼굴
293,고구려대장간마을
615,남도꽃정원
154,가평잣고을시장
675,노량진수산물도매시장
1610,서울숲
13,29CM SEONGSU
2067,쎈느
80,LCDC서울
1136,메가박스 의정부민락
3414,포천아트밸리
2113,아침고요수목원
918,두타.밀리오레
42,CGV 용산아이파크몰
1085,마로니에공원
627,남산공원
2700,이마트 수서점
2489,용리단길
1363,봄날아트홀
2324,여의도한강공원
1349,보신각터
2256,언더스탠드에비뉴
414,광화문
1616,서울숲공원 가족마당 무신사 패선 전시회
1461,빈티지패션팩토리 용인본점
1354,보정동카페거리
2265,에버랜드
2268,에버랜드 로스트밸리
2276,에버랜드 정문
2273,에버랜드 아마존익스프레스
606,난지한강공원
2270,에버랜드 매직타임레스토랑
1966,스타필드 고양
2266,에버랜드 T익스프레스
3405,포메인 에버랜드직영점
1148,명동거리
636,남산타워
2776,"이태원거리, 롯데월드타워몰"
1054,롯데월드
701,논현먹자골목
3347,파주프리미엄아울렛
2059,심학산둘레길
911,두물머리
270,경의선책거리
886,"동묘공원, 동대문역사문화공원 가는길"
75,KT&G상상마당 홍대
2471,올리브영 신촌타운점
2287,에이랜드 홍대점
712,뉴뉴
2286,에이랜드 잠실점
3470,필름포럼
632,남산서울타워
426,교보문고 광화문점
2288,에이에이플레이스
2637,율동공원
1120,망원한강공원
575,나라셀라 롯데백화점 잠실점
2441,오이도 빨강등대
2003,시흥오이도박물관
3113,철원한탄강 주상절리길
2885,임진각관광지
306,고석정꽃밭
2438,오이도
2453,옥구공원
1529,생명의나무전망대+빨간등대
2995,제이드가든수목원
3170,춘천삼악산호수케이블카
899,동춘서커스 상설공연장
1012,롯데몰 수원점
22,AK플라자 AKTown점
1894,수원화성
1295,방화수류정
3586,행궁동벽화마을
2935,장안공원 화서문
2117,아쿠아플라넷 광교
1883,수원전통문화관 예절교육관
2564,원천호수
1672,서장대
1111,만석공원 만석거
1919,수원화성박물관
1892,수원팔색길 화성성곽길
