,VISIT_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM
26438,2852.0,a_a017704,인천차이나타운,인천 중구 북성동2가 14,90.0,4,0.0,3.0,3.0,3.0,11
26439,3231.0,a_a005861,코스트코 일산점,경기 고양시 일산동구 백석동 1312,30.0,4,0.0,1.0,1.0,1.0,10
26442,2852.0,a_a006166,인천차이나타운,인천 중구 북성동2가 14,30.0,4,1.0,4.0,4.0,4.0,10
26445,3652.0,a_a005655,현대프리미엄아울렛 송도점,인천 연수구 송도동 168-1,0.0,4,1.0,3.0,3.0,3.0,10
26447,2781.0,a_a001605,이태원클라스촬영지(날개벽화),,0.0,2,0.0,3.0,3.0,3.0,09
26448,3581.0,a_a014724,햇반 쌀창고 팝업스토어,,60.0,13,0.0,5.0,2.0,5.0,10
26452,876.0,a_a015803,동대문종합시장,서울 종로구 종로6가 270-3,30.0,4,1.0,3.0,4.0,3.0,11
26456,1310.0,a_a001549,백남준아트센터,경기 용인시 기흥구 상갈동 496,120.0,3,0.0,4.0,4.0,4.0,09
26472,1464.0,a_a004118,빽투더레트로,인천 중구 중앙동1가 21-2,30.0,4,0.0,3.0,3.0,4.0,10
26473,1488.0,a_a010466,"산천동부군당, 용산성당",,30.0,2,0.0,5.0,3.0,3.0,10
26477,2400.0,a_a000287,예술의전당,서울 서초구 서초동 700,30.0,3,0.0,5.0,4.0,4.0,08
26478,597.0,a_a004145,낙산공원,서울 종로구 동숭동 산 2-10,30.0,7,0.0,4.0,4.0,4.0,09
26480,2094.0,a_a008456,아브뉴프랑 판교,경기 성남시 분당구 삼평동 740,30.0,4,1.0,5.0,5.0,5.0,10
26481,2570.0,a_a010193,월미공원,인천 중구 북성동1가 산 2-1,30.0,1,0.0,4.0,4.0,4.0,10
26482,2041.0,a_a010455,신철원시장,강원 철원군 갈말읍 신철원리 697,30.0,4,0.0,4.0,3.0,4.0,10
26484,1211.0,a_a003715,물의정원,경기 남양주시 조안면 진중리 95,30.0,1,1.0,4.0,5.0,5.0,10
26485,3233.0,a_a005200,코엑스,서울 강남구 삼성동 159,30.0,8,1.0,5.0,5.0,5.0,10
26486,1071.0,a_a009428,롯데호텔월드,서울 송파구 잠실동 40-1,30.0,6,0.0,5.0,5.0,5.0,10
26490,1078.0,a_a003657,리빙파워센터,경기 용인시 기흥구 고매동 267-1,180.0,4,0.0,5.0,5.0,5.0,10
26497,489.0,a_a002681,국립현대미술관 서울관,서울 종로구 소격동 165-10,30.0,3,1.0,4.0,4.0,4.0,10
26498,646.0,a_a004853,남이섬유원지 메타세쿼이아길,강원 춘천시 남산면 방하리 197,210.0,1,0.0,4.0,4.0,4.0,10
26501,2613.0,a_a007915,유니플렉스,서울 종로구 동숭동 1-94,240.0,3,0.0,5.0,4.0,5.0,10
26502,568.0,a_a003919,김포한옥마을,경기 김포시 운양동 1325-10,30.0,7,0.0,4.0,3.0,3.0,10
26505,421.0,a_a000081,광화문광장지하,서울특별시 종로구 종로1가,30.0,2,0.0,5.0,5.0,5.0,08
26509,3752.0,a_a017858,화성행궁,경기 수원시 팔달구 남창동 6-2,30.0,2,0.0,2.0,1.0,3.0,11
26512,383.0,a_a009744,광교호수공원,경기 수원시 영통구 하동 1020,90.0,1,0.0,4.0,4.0,4.0,10
26513,632.0,a_a004168,남산서울타워,서울 용산구 용산동2가 산 1-3,60.0,3,1.0,4.0,5.0,5.0,10
26518,2003.0,a_a004296,시흥오이도박물관,경기 시흥시 정왕동 2202-6,30.0,2,0.0,4.0,4.0,4.0,10
26523,2510.0,a_a006297,용수양봉박물관&용수양봉카페,경기 성남시 수정구 심곡동 258,60.0,2,0.0,4.0,4.0,4.0,10
26527,1752.0,a_a009742,세종국악당,경기 여주시 하동 107-12,60.0,3,0.0,5.0,5.0,5.0,10
26529,3184.0,a_a002662,칠궁,,30.0,2,0.0,4.0,3.0,4.0,10
26532,2154.0,a_a005006,안산대부광산퇴적암층,경기 안산시 단원구 선감동 산 147-1,60.0,1,0.0,5.0,5.0,5.0,10
26533,1659.0,a_a001208,서울특별시 교육청과학전시관 남산분관,서울 중구 회현동1가 산 1-2,60.0,3,1.0,5.0,5.0,5.0,09
26536,2149.0,a_a000428,안다즈 서울강남 수영장,,90.0,6,1.0,5.0,5.0,5.0,09
26538,1401.0,a_a015750,부평중앙지하상가,인천 부평구 부평동 738-21,30.0,4,1.0,5.0,5.0,5.0,11
26539,2731.0,a_a007403,이마트트레이더스 스타필드고양점,,60.0,4,0.0,4.0,4.0,4.0,10
26544,1970.0,a_a017655,스타필드 코엑스몰,서울 강남구 삼성동 159-9,240.0,4,1.0,4.0,4.0,4.0,11
26549,1868.0,a_a003033,수원만두,경기 수원시 팔달구 팔달로1가 5-2,30.0,4,0.0,4.0,3.0,3.0,09
26550,1352.0,a_a001168,보야지투자라섬,경기 가평군 가평읍 달전리 30,600.0,8,0.0,5.0,5.0,5.0,08
26554,3770.0,a_a000461,황리단길,경북 경주시 황남동 270-10,0.0,4,1.0,4.0,4.0,4.0,08
26557,929.0,a_a007349,드로잉키즈,,90.0,6,0.0,5.0,5.0,5.0,10
26567,3515.0,a_a001359,한강달빛야시장,,90.0,4,0.0,3.0,2.0,3.0,08
26572,1027.0,a_a002245,롯데백화점 인천점,인천 미추홀구 관교동 15,60.0,4,1.0,3.0,4.0,4.0,10
26576,3752.0,a_a004092,화성행궁,경기 수원시 팔달구 남창동 6-2,60.0,2,0.0,5.0,5.0,5.0,10
26581,2324.0,a_a001109,여의도한강공원,서울 영등포구 여의도동 85,30.0,1,0.0,4.0,4.0,4.0,08
26582,1199.0,a_a001639,문발살롱,,90.0,3,0.0,4.0,4.0,4.0,09
26586,1919.0,a_a002155,수원화성박물관,,30.0,2,0.0,4.0,3.0,4.0,09
26588,994.0,a_a003020,롯데마트 롯데몰수지점,경기 용인시 수지구 성복동 789,120.0,4,1.0,4.0,4.0,4.0,09
26590,268.0,a_a006378,경의선숲길,서울 마포구 동교동 190-1,30.0,7,1.0,4.0,4.0,4.0,10
26591,2662.0,a_a001624,의공고 벽화조명,,30.0,7,0.0,4.0,4.0,4.0,09
26594,70.0,a_a002204,K-water 한탄강댐 물문화관,경기 연천군 연천읍 고문리 902,30.0,3,0.0,5.0,5.0,5.0,09
26595,2265.0,a_a003947,에버랜드,경기 용인시 처인구 포곡읍 전대리 310,600.0,6,0.0,5.0,5.0,5.0,10
26596,164.0,a_a006061,감고당길,서울 종로구 송현동 34-2,30.0,7,0.0,5.0,4.0,4.0,10
26597,888.0,a_a002941,동묘시장,서울 종로구 숭인동 239-9,210.0,4,1.0,5.0,5.0,5.0,09
26605,3478.0,a_a003370,하남어시장,경기 하남시 미사동 438-2,60.0,4,0.0,5.0,5.0,5.0,09
26613,1109.0,a_a012229,만국시장,,30.0,4,0.0,3.0,3.0,3.0,10
26614,3650.0,a_a005524,현대프리미엄아울렛 김포점,경기 김포시 고촌읍 전호리 654,30.0,4,1.0,1.0,1.0,1.0,10
26616,3654.0,a_a007204,현대프리미엄아울렛 스페이스원,경기 남양주시 다산동 6141,180.0,4,1.0,5.0,5.0,5.0,10
26619,3669.0,a_a002824,호수정감,경기 안성시 양성면 미산리 225,30.0,1,0.0,5.0,4.0,4.0,10
26623,592.0,a_a000303,나인트리프리미어호텔 서울판교 수영장,,60.0,6,0.0,5.0,5.0,5.0,09
26628,2852.0,a_a000510,인천차이나타운,인천 중구 북성동2가 14,90.0,4,0.0,4.0,4.0,4.0,08
26631,3124.0,a_a000807,청계천,서울 종로구 서린동 148,30.0,7,0.0,2.0,2.0,3.0,08
26632,1597.0,a_a001464,서울랜드,경기 과천시 막계동 108,270.0,6,1.0,5.0,5.0,5.0,08
26635,2239.0,a_a000738,양평곤충박물관,경기 양평군 옥천면 옥천리 903-15,90.0,2,0.0,5.0,2.0,3.0,09
26641,1782.0,a_a007096,소마미술관,서울 송파구 방이동 88-21,60.0,3,1.0,4.0,4.0,4.0,10
26642,2871.0,a_a003274,일산호수공원,경기 고양시 일산동구 장항동 906,210.0,1,0.0,3.0,3.0,4.0,09
26644,1914.0,a_a007375,수원화성 화홍문,경기 수원시 팔달구 북수동 9000-1,60.0,2,0.0,5.0,5.0,5.0,10
26648,3752.0,a_a007260,화성행궁,경기 수원시 팔달구 남창동 6-2,90.0,2,1.0,4.0,3.0,4.0,10
26649,3718.0,a_a004896,홍익대학교,서울 마포구 상수동 72-1,240.0,4,0.0,1.0,5.0,5.0,10
26651,2619.0,a_a001687,유명산,경기 가평군 설악면 가일리 산 58-1,240.0,1,0.0,4.0,4.0,4.0,09
26652,3484.0,a_a006278,하늘공원,서울 마포구 상암동 481-72,60.0,1,0.0,5.0,5.0,5.0,10
26653,2949.0,a_a003236,재인폭포,경기 연천군 연천읍 부곡리 193,120.0,1,0.0,4.0,4.0,4.0,10
26656,676.0,a_a001999,노량진컵밥거리,서울 동작구 노량진동 148-87,60.0,4,0.0,4.0,4.0,4.0,09
26658,156.0,a_a002240,가평탑랜드,경기 가평군 가평읍 달전리 108-3,60.0,5,0.0,5.0,4.0,5.0,09
26659,2498.0,a_a001366,용문천년시장,경기 양평군 용문면 다문리 732-3,30.0,4,0.0,4.0,3.0,3.0,08
26662,1070.0,a_a017950,롯데프리미엄아울렛 파주점,경기 파주시 문발동 644,90.0,4,1.0,4.0,4.0,4.0,11
26663,2852.0,a_a001226,인천차이나타운,인천 중구 북성동2가 14,60.0,4,0.0,5.0,3.0,4.0,09
26665,3233.0,d_d004175,코엑스,서울 강남구 삼성동 159,300.0,3,1.0,5.0,5.0,5.0,10
26666,3654.0,a_a018130,현대프리미엄아울렛 스페이스원,경기 남양주시 다산동 6141,90.0,4,0.0,4.0,3.0,3.0,11
26682,393.0,a_a002897,광명동굴,경기 광명시 가학동 34-1,180.0,1,0.0,4.0,3.0,4.0,10
26683,834.0,a_a001142,덕수궁돌담길,서울 중구 정동 5-1,30.0,7,0.0,5.0,5.0,5.0,08
26685,258.0,a_a012416,경복궁,서울 종로구 세종로 1-91,60.0,2,1.0,5.0,5.0,5.0,10
26689,629.0,a_a001208,남산공원 N서울타워,서울 용산구 용산동2가 산 1-3,150.0,1,1.0,5.0,5.0,5.0,09
26690,1085.0,a_a004145,마로니에공원,서울 종로구 동숭동 1-124,30.0,1,1.0,4.0,3.0,2.0,09
26694,2059.0,a_a001321,심학산둘레길,경기 파주시 동패동 산 284-10,60.0,7,0.0,4.0,4.0,4.0,08
26696,324.0,a_a014008,고인돌공원,경기 오산시 금암동 174-1,60.0,1,1.0,1.0,5.0,5.0,10
26698,2719.0,a_a007335,이마트 포천점,경기 포천시 설운동 2,60.0,4,0.0,3.0,3.0,3.0,10
26699,3654.0,a_a017776,현대프리미엄아울렛 스페이스원,경기 남양주시 다산동 6141,60.0,4,1.0,5.0,5.0,5.0,11
26701,3787.0,a_a003128,효원공원 월화원,경기 수원시 팔달구 인계동 1117,30.0,1,0.0,5.0,5.0,5.0,10
26713,1879.0,a_a010949,수원역로데오거리,경기 수원시 팔달구 매산로1가 109-1,30.0,4,1.0,3.0,3.0,4.0,10
26717,834.0,a_a005322,덕수궁돌담길,서울 중구 정동 5-1,30.0,7,1.0,4.0,3.0,3.0,10
26719,396.0,a_a007138,광명스피돔 경륜본장,경기 광명시 광명동 780,120.0,13,1.0,5.0,5.0,5.0,10
26721,3604.0,a_a001909,허브아일랜드,경기 포천시 신북면 삼정리 517-2,120.0,1,0.0,3.0,2.0,2.0,09
26723,583.0,a_a002708,나이키 신세계스타필드고양점,경기 고양시 덕양구 동산동 370,0.0,4,0.0,5.0,5.0,5.0,09
26724,902.0,a_a006254,동탄호수공원,경기 화성시 송동 54-1,60.0,1,1.0,5.0,4.0,4.0,10
26725,512.0,a_a002127,그라운드시소 서촌,서울 종로구 통의동 35-17,60.0,3,0.0,5.0,2.0,5.0,09
26727,3589.0,a_a001932,행리단길,경기 수원시 팔달구 장안동 290-3,30.0,4,0.0,5.0,5.0,5.0,09
26735,2217.0,a_a002618,양서농협 두물머리 로컬푸드직매장,경기 양평군 양서면 양수리 1161-5,30.0,4,0.0,4.0,3.0,3.0,10
26737,2492.0,a_a002762,용문사,경기 양평군 용문면 신점리 625,150.0,1,1.0,4.0,4.0,4.0,09
26741,451.0,a_a007548,국립6.25전쟁납북자기념관,경기 파주시 문산읍 사목리 481-1,30.0,2,0.0,3.0,3.0,4.0,10
26742,1508.0,c_c002983,상동호수공원,경기 부천시 상동 549,90.0,1,0.0,4.0,5.0,4.0,10
26743,1989.0,a_a003024,슬로우 라이프 슬로우 라이브 콘서트,,540.0,8,0.0,4.0,5.0,5.0,10
26745,1576.0,a_a002889,서울구신촌역사,,30.0,2,0.0,4.0,4.0,4.0,09
26746,1536.0,a_a012482,샤로수길,서울 관악구 봉천동,60.0,4,0.0,5.0,5.0,5.0,10
26748,2790.0,a_a003192,익선동한옥거리,서울 종로구 익선동,60.0,4,1.0,4.0,4.0,4.0,10
26754,675.0,a_a003557,노량진수산물도매시장,서울 동작구 노량진동 334,30.0,4,1.0,4.0,5.0,5.0,09
26769,3650.0,a_a010436,현대프리미엄아울렛 김포점,경기 김포시 고촌읍 전호리 654,60.0,4,1.0,4.0,4.0,5.0,10
26771,775.0,a_a003546,대부바다향기테마파크,경기 안산시 단원구 대부북동 1841-10,90.0,6,1.0,4.0,4.0,4.0,09
26772,1692.0,b_b007021,석촌호수 동호,서울 송파구 신천동 32,30.0,1,0.0,5.0,5.0,5.0,10
26773,580.0,a_a010106,나이스스크린골프,경기 안양시 동안구 관양동 949-13,360.0,5,0.0,4.0,5.0,4.0,10
26776,632.0,a_a007595,남산서울타워,서울 용산구 용산동2가 산 1-3,90.0,1,1.0,5.0,5.0,5.0,10
26777,2112.0,a_a012267,아침고요가족동물원,경기 가평군 상면 임초리 622-13,90.0,13,0.0,5.0,5.0,4.0,10
26779,3518.0,a_a014823,한강중앙공원,경기 김포시 장기동 2001-1,30.0,1,0.0,4.0,4.0,4.0,11
26780,822.0,a_a001356,더플레인,서울 중구 명동2가 3-4,30.0,4,0.0,5.0,4.0,4.0,08
26781,1610.0,a_a005503,서울숲,서울 성동구 성수동1가 678-1,90.0,1,0.0,4.0,5.0,5.0,10
26787,2852.0,a_a009997,인천차이나타운,인천 중구 북성동2가 14,90.0,4,0.0,4.0,3.0,3.0,10
26788,2356.0,a_a009844,연천 전곡리국화축제,경기 연천군 전곡읍 전곡리 286,60.0,8,1.0,4.0,4.0,4.0,10
26794,2940.0,a_a000989,장충단공원,서울 중구 장충동2가 197-34,30.0,1,0.0,5.0,5.0,5.0,09
26795,2472.0,a_a018090,올림픽공원,서울 송파구 방이동 88-3,90.0,1,1.0,4.0,4.0,4.0,11
26800,3088.0,a_a002167,창덕궁 후원,서울 종로구 와룡동 2-71,150.0,2,0.0,5.0,5.0,5.0,09
26806,747.0,a_a001685,달콤커피 청계광장점,서울 종로구 서린동 129-1,60.0,1,0.0,5.0,3.0,4.0,09
26809,779.0,a_a006906,대불호텔 전시관,인천 중구 중앙동1가 18,60.0,3,0.0,3.0,3.0,3.0,10
26812,2868.0,a_a006806,일산문화광장,경기 고양시 일산동구 장항동 845,300.0,8,1.0,5.0,5.0,5.0,10
26815,627.0,a_a001079,남산공원,서울 중구 예장동 산 5-6,0.0,7,0.0,4.0,4.0,4.0,08
26816,3629.0,a_a010982,현대백화점 무역센터점,서울 강남구 삼성동 159-7,30.0,4,0.0,5.0,5.0,5.0,10
26827,1011.0,a_a001350,롯데몰 김포공항점,서울 강서구 방화동 886,30.0,4,0.0,3.0,3.0,3.0,09
26828,2570.0,a_a002410,월미공원,인천 중구 북성동1가 산 2-1,120.0,1,0.0,5.0,5.0,4.0,09
26829,977.0,a_a000475,레이크꼬모 동탄,경기 화성시 송동 694,30.0,4,0.0,5.0,5.0,5.0,09
26830,3652.0,a_a001734,현대프리미엄아울렛 송도점,인천 연수구 송도동 168-1,270.0,4,1.0,5.0,5.0,5.0,09
