key,value
1191,묵호등대전망대
712,논골담길
1285,바람의 언덕(일출)
313,경주읍성
290,경주성동시장
851,"대왕암공원 출렁다리, 전설바위길"
1096,"막구지기 별빛광장, 일산해수욕장"
2492,"울기등대, 송림길"
686,남포동 광복로 쇼핑거리
963,동아대학교 석당박물관
2311,영일대해수욕장
3630,환호공원 포항시립미술관
2310,영일대해상누각
3102,최무선과학관
2693,임고서원
269,경주남산탑곡마애조상군
2403,옥산서원
330,경주흥덕왕릉
2443,용담정
1605,삼릉숲
276,경주동궁원 동궁식물원
161,강원대학교삼척캠퍼스
1627,삼척솔비치리조트
1633,삼척중앙시장부근 대학로페스티벌
592,김유정문학촌
1851,소양강처녀상
593,김유정역 (폐역)
2637,의암호스카이워크
591,김유정문인비
2116,안동찜닭골목
2109,안동벽화마을
2567,월영교
2531,웅부공원
2700,임청각
2112,안동시 임동면 망천1리
2597,유교랜드
2115,안동중앙신시장
1406,봉포해변
2677,인제가을꽃축제
1319,백담사
1751,설악산
2228,여로요가
2724,장릉
3428,한반도지형
1112,망경대산자연휴양림
3056,청령포 단종 유배지
2303,영월서부시장
3031,청널공원
2931,진주종합경기장 보조경기장
2564,월아산 우드랜드 유아숲체험원
3509,해운대블루라인파크 청사포정거장
3384,하운드 송정해수욕장
1905,송정역 (폐역)
1723,서프홀릭
3530,해피초원목장
1218,문우당서림
2898,직탕폭포
3443,한탄강은하수교
827,대덕산 태백시용연동굴
898,도깨비 촬영지
1172,몽토랑산양목장
1510,불정역 (폐역)
365,고모산성
1399,봉천사
1109,만화정
3039,청도삼족대
1296,박제상유적지
3248,태화강동굴피아
2508,울산들꽃학습원
2766,전포성당
1344,법기수원지
51,KT&G상상마당 부산
3580,홍법사
2768,전포카페거리
1237,뮤지엄원
2441,요트홀릭
1192,묵호시장
1248,미인폭포
2883,증산해변
2478,우제봉
1050,롯데마트
2784,정동진레일바이크
2221,엑스포타워
2283,영랑호
656,남대천연어생태공원
639,낙동강승전기념관
1929,수성못 대구경북지방의회 박람회 &수성 벼룩시장
955,동성로
626,나렌즈
2559,월광수변공원
347,경포호
154,강변산책로(야경)
202,거창Y자형출렁다리
80,가조온천관광지 족욕체험장
206,거창전통시장
3625,환선굴
1151,명성닭강정
1203,문경새재오픈세트장
1201,문경새재도립공원
3013,철원역사문화공원
1712,서프베이
3657,황산공원
2242,연세대학교 미래캠퍼스
305,경주역사유적지구
3366,하동문화예술회관 갤러리
3364,하동군지리산 생태과학관
868,대포항수산시장
441,교암항
3005,천학정스쿠버리조트
741,다이브라이프
866,대포항
3004,천학정
442,교암해변
3244,태화강국가정원 십리대숲
2736,장생포고래문화마을
2470,용화해변
3709,희방사
1645,삼판서고택
909,도산서원
1476,부석사
1409,봉화닭실마을
1535,비발디파크 오션월드
1536,비발디파크 오션월드 몬스터블라스터
144,강릉카페거리
149,강릉해물라면
342,경포생태저류지
2127,안목해변 빨간등대
795,대구교육수련원 앞 바다
2312,영일만 북파랑길
2260,영남루
288,경주석빙고
426,광안대교
1353,벡스코
1077,마린시티
1372,보문투어
3092,초도해변
2983,척산족욕공원
1330,백섬해상전망대
3179,카시나
2065,아난티힐튼 부산
2164,양록제
3075,청춘조각공원
3279,파로호 꽃섬
989,두타연 금강산가는길 안내소
988,두타연
2147,앞산자락길
3048,청라언덕
418,관문시장
960,동성로중앙무대
1980,스파크랜드
29,CGV 대구아카데미
1928,수성못
3451,한화리조트 설악쏘라노 호수공원
1646,삼포해수욕장
399,골굴사
1705,서출지
1521,비단벌레차매표소
3057,청령포 단종대왕유배지
893,덕포5일장
1357,별마로천문대
2772,젊은달와이파크
1716,서프살롱
630,나우오네버
3707,흥정계곡
779,대관령양떼목장
3291,팔봉산
3431,한서남궁억기념관
1341,범바위
2760,적산족욕테마 체험공원
1871,"속초시립풍물단 사물놀이패 공연장, 속초실향민 문화촌"
129,"강릉바우길, 가시연습지, 달빛 산책로"
1776,설악해맞이공원 친환경플로킹 (쓰레기 수거 뵹사활동)
570,금호설악리조트 주변산책3
3529,해피아울하우스
1538,비선대
200,거진항수산물판매장
2297,영월관광센터
843,대암산용늪
3315,평창올림픽시장
41,DMZ박물관
3055,청령포
2089,아침가리계곡
1724,서피비치
1749,설악로데오거리
1838,소라엄마튀김순대
2021,신안종합리조트 워터파크
1956,스웰서프
1889,송대말등대
2853,죽도시장
2763,전촌용굴
645,낙산해변
3689,후진항 방파제
2757,저우리전통테마마을
2848,주토피움
2338,예천목재문화체험장
2337,예천곤충생태공원
284,경주보문관광단지
2203,에그조이
1606,삼보게임랜드
716,놀이마루
417,관룡사
1104,만옥정공원
2951,창녕5일장
2480,우포늪생태관
2952,창녕교동고분군
1682,서면미술관
1895,송도해상케이블카 송도스카이파크
721,뉴한국마트
1268,밀락 더 마켓
516,국제시장먹자골목
309,경주오릉
3023,첨성대 및 월성
263,경주계림
545,금관총
2946,쪽샘유적발굴관
1659,상원사
1386,복순도가
881,더케이경주호텔 스파월드
2985,천군복합문화공간
3157,치악산국립공원사무소
1527,비발디파크 곤돌라
568,금진해변
2135,알로하서프
2786,정동진조각공원
12,24시서울감자탕병천순대
1122,매바위인공폭포
3664,황지공원 황지연못
915,도째비골해랑전망대
3009,철암탄광역사촌
1733,석촌호수산책길
1064,롯데월드타워&롯데월드몰
1983,슬도
3251,태화루
849,대왕암공원
2440,요트탈래
3249,태화강억새군락지
1150,명선도
2214,에코랄라녹색문화체험관
1484,부평깡통시장
742,다이아몬드타워
2641,이기대공원
1252,미포역 근처& 영화 해운대 촬영길
1896,송도해수욕장
3064,청사포어항북방파제등대
99,갈맷길 2코스2구간
2317,영주동 오름길모노레일
3238,태종사
3645,황룡원
2762,전주향교
672,남이섬
1686,서면젊음의거리
1370,보문정
300,경주양남주상절리
295,경주솔거미술관
3418,한국대중음악박물관
3143,춘천지역먹거리직매장
628,나무향기한증막
1804,세계주류마켓
2631,의암공원
2388,오크밸리 다둔길
2389,오크밸리 조형물
2497,울산 일산동 바다
1620,삼정타워
1381,보현산댐 짚와이어
2490,운주산승마자연휴양림 숲속놀이터
2324,영천별별미술마을
2331,영화의전당
2672,인구해변
2850,죽도/죽도전망대/죽도정/죽도암/해파랑길
2858,죽도해변
837,대부잠수교
1087,마위지
419,관봉석조여래좌상
1991,시민스포츠센터 빙상장
1919,수로왕릉
605,김해문화의전당
2729,장사항
2152,애니포레
1307,발왕산관광케이블카
1304,발왕산
340,경포대
3581,홍소족발
2431,외나무다리
1477,부석사 무량수전
2314,영주 근대역사문화거리
2554,원주천
3532,행구수변공원
2071,아르떼뮤지엄
2793,정선아리랑시장
3691,후포어시장 회도매센타
3692,후포해수욕장
1163,모루
1692,서문시장
2235,연경동 인터불고미용실
797,대구근대역사관
238,경상감영공원
807,대구수제화골목
1313,방천시장
2823,주교좌계산대성당
3606,화암사
937,동명동성당
1729,석봉도자기미술관
2982,척산온천휴양촌
2434,외옹치해변
1772,설악케이블카
2034,신흥사
996,드림센터
307,경주열사유적 월성지구
283,경주버드파크
736,다래헌
3488,해수관음상
1595,삼계리계곡
2981,책과인쇄박물관
177,강촌랜드
2141,알펜시아리조트 오션700
2837,주문진해변
941,동명항오징어난전 12호
1626,삼척번개시장
1632,삼척중앙시장
1843,소백산생태탐방원
1523,비로봉
1850,소양강스카이워크
1879,손큰할매
341,경포도립공원
3298,페리아902
1578,사천해변
481,국립대관령치유의숲
3429,한반도지형전망대
992,둥글바위
422,관풍헌
1270,밀브릿지
3693,휘닉스 평창
1110,만휴정
1989,시루봉
857,대전사
747,달기약수마을
2462,용추폭포
1473,부산현대미술관
1732,석촌호수 서호
3292,팔봉산관광지
1531,비발디파크 바베큐셀프가든
3014,철원오대쌀축제
371,고석정꽃밭
3442,한탄강 은하수교
214,검세마을회관
1607,삼봉사 봉안당
54,KT경주수련관 수영장
918,돌담길한복
2194,어서어서
314,경주중앙도서관
2340,오고스튜디오
2835,주문진수산시장
1959,스카이다이빙센터 충주
1784,성남동 젊음의 거리
1481,부잔교갯벌탐방로
1642,삼천포대교공원
2606,육백마지기
1236,뮤지엄산
3272,통일전망대
3615,화진포서프스토리
352,계림
324,경주핑크뮬리군락지
754,달성공원 동물원
752,달성공원
753,달성공원 대구향토역사관
2380,오어즈
2432,외동전통시장
2663,이중섭거리
3503,해운대리버크루즈
1433,부산농협화훼판매장
3633,황강신소양체육공원
3655,황매산법연사
2799,정양늪생태학습관
2991,천불천탑
3466,합천영상테마파크
3653,황매산군립공원
2861,죽림동 주교좌성당
1852,소양댐시민의숲
2414,올미솔밭
3558,혜윰
694,낭만골목
3145,춘천한백록 묘역및정문
1228,물의정원
3176,칠층석탑
2020,신숭겸장군유적지
1127,맥국터
108,감천문화마을
1936,수영만요트경기장
18,6.25전쟁체험전시관
3400,하조대
338,경포가시연습지
1574,사천진해변
970,동천
381,고성시장
1379,보현사
3521,해지개다리
379,고성송학동고분군
1216,문수암
1917,수남유수지생태공원
378,고성소을비포성지
377,고성생태학습관
1660,상족암군립공원
397,곤륜산
3562,호미곶
883,덕구온천스파월드
2865,죽변항
1119,망양정해수욕장
1479,부용대
2101,안동구시장
2105,안동댐 인증센터
35,CGV 서면상상마당
3405,하중도
2603,육림고개
3135,춘천시청
164,강원도 정선군 신동읍 연포길 530
2643,이끼터널
165,강원도 평창군 미탄면 마하리 16-1
1047,롯데ATM 세븐일레븐 속초제일
661,남사예담촌
1779,섬진강 대나무숲길
3594,화개장터
1105,만인산자연휴양림
98,갈남해수욕장
97,갈남항
940,동명항오징어난전
2879,중앙시장입구삼거리
1967,스컹크웍스
2238,연다라횟집
3111,추억의달동네
454,구룡포해수욕장
2366,오보드나타
2047,썬크루즈리조트 수영장
2046,썬크루즈 테마공원
834,대변항 수산물직매장
1656,상림공원
3461,함양일두고택
2776,점필재 선생 관영녹차밭
650,남계서원
2149,앞산케이블카
3486,해변산책
1669,새뜰마을
2309,영일대전망대
2690,일산해수욕장
465,구송폭포
406,공주설화
1147,명동입구
3077,청평사국민여가캠핑장
195,거북바위
1022,라틴 뮤직 페스타
3076,청평사
3139,춘천중도물레길
389,고요드로잉
3024,"첨성대, 경주핑크뮬리군락지, 경주동부사적지대"
546,"금관총, 노서리 고분군"
251,"경주 교촌마을, 월정교"
728,능파대
1089,마이테이스트
2406,옥천사
1306,발왕산 모나파크
652,남대지장암
1305,발왕산 기 스카이워크
6,2018평창동계올림픽대회 및 동계패럴림픽대회기념관
1755,설악산 흔들바위
1770,설악워터피아 나읻트스파
1792,성인대
1093,마카오박
2061,씨마크호텔 THE GYM
2372,오색약수
1763,설악산국립공원 흘림골코스
2347,오대산국립공원 선재길코스
1497,분성산 생태숲생태체험관
607,김해민속박물관
1413,봉황대공원
343,경포아쿠아리움
105,감은사지삼층석탑
2240,연동어촌체험마을
2576,월포해수욕장
1283,바다낚시2
2425,왕산역사공원
1814,소골
3316,평화시장
1877,속초항
1245,미시령계곡
319,경주쿠키
323,경주풍력발전단지
3627,환호공원
2739,장생포모노레일
141,강릉임영관 객사
2699,임시수도대통령관저
1454,부산영화체험박물관
3109,추암해변
3108,추암촛대바위
973,동피랑벽화마을
2219,엑스더스카이
1549,뻐꾸기삼촌
3695,휘닉스평창 곤돌라
3543,허브나라농원
3696,휘닉스평창 블루캐니언
1403,봉평전통시장
1125,매암차박물관
3103,최참판댁
2042,쌍계사
1502,불국사 성보박물관
693,남호해수욕장
2094,악양둑방
2912,진양호동물원
1640,삼척해양레일바이크 용화정거장
2512,울산수학문화관
2832,주문진방사제
3224,태백산
1124,매봉산 바람의언덕
2769,전포카페거리 및 서면시장
70,가배원커피
344,"경포아쿠아리움, 강릉녹색도시체험센터 산책길"
1923,수산물건어물시장
2778,정관박물관
1856,소원사
2330,영화공장
2267,영대교
1678,서리단길
2692,임경대
1951,순매원
2171,양산천구름다리
2538,원동매화마을
2168,양산시립박물관 아우름
2172,양산타워
1224,물문화전시관
258,"경주 월성(2022 빛의 궁궐, 월성)"
1893,송도용궁구름다리
811,대구아쿠아리움
3714,히든토이
2524,울진바지게시장
3422,한국해양과학기술원 동해연구소
2429,왕피천케이블카
1331,백암온천관광특구
2563,월송정
2856,죽도어시장
2785,정동진시간박물관
2782,정동심곡바다부채길 정동매표소
1566,사천바다케이블카
1571,사천읍성
1569,사천선진리성
1941,수타사
980,두개비산
1597,삼국유사 교육문화회관
1598,삼국유사 교육문화회관 야외공연장
2712,자수정동굴나라
1525,비바랜드
2155,앤트월드
1526,비발디파크
2136,알파카월드
2464,용평리조트 마운틴코스터
1377,보물섬물놀이장
2544,원주도래미시장
611,김해시평생학습과학축제
1395,봉리단길
840,대성동고분박물관
1998,신돌섬대게횟집
2720,작은후진해변
212,건의령고개
3480,해돋이건어물상회
1517,블랙다이아몬드페스티발
897,도계읍시내
3397,하이원팰리스호텔
3389,하이원리조트 마운틴탑 소망나무추억정원
905,도룡이연못
2074,아리랑박물관
2789,정선레일바이크
3386,하이원 워터월드
2792,정선아라리촌
2319,영진해변
2834,주문진수산물 좌판풍물시장
188,갤러리밥스 웨이팅
3497,해운대 이벤트광장
1259,민락더마켓
3063,청사포방파제
876,더베이101
1260,민락수변공원
431,광안리해양레포츠센터
2202,업스퀘어
2010,신불산
1903,송이버섯마을
1446,부산시민공원
2438,요트미르
761,대가야박물관
762,대가야박물관 왕릉전시관
1744,선암계곡
888,덕산기계곡
1176,무릉계곡
48,K-water 김천부항댐 물문화관
2791,정선소금강계곡
1219,문치재전망대
920,동강
2011,신성리 공룡발자국 화석지
1398,봉정사
635,낙강물길공원
2118,안동포전시관
2119,안동하회마을
1365,병산서원
3412,하회세계탈박물관
830,"대릉원, 첨성대"
1937,수영사적공원
1438,부산문화회관
2369,오브제후드
3640,황남쫀드기
1018,라움
3669,황화코스모스
2742,장수두부마을
585,김광석다시그리기길
2195,언양알프스시장
2496,울산 문화의거리
2513,울산시립미술관
484,국립대운산치유의숲
83,가창
3411,하회마을 나룻배
3413,하회세계탈박물관 하회장터
1558,사명대사공원
153,강변공원
1486,부항댐출렁다리
2897,직지사
456,구문소
3106,추암 촛대바위 출렁다리
3464,합천로컬푸드영농조합법인
854,대장경테마파크
3519,해인사
507,국립칠곡숲체원
2601,유학산
3167,칠곡호국평화기념관
1184,"무지개해안도로,부잔교갯벌탐방"
1643,삼천포용궁수산시장
894,델피노 오션플레이
2947,찐빵땟거리
1146,명동닭갈비골목
3136,춘천신매리석실고분
506,국립춘천박물관
247,경상북도교육청 발명체험교육관
1055,롯데시네마 광복
1969,스타뮤직동전노래연습장
1025,라한셀렉트 경주 수영장
184,개정
725,능
1699,서운암
1704,서축암
1559,사명암
3611,화원유원지 사문진나루터
3375,하목정
2607,육신사
2568,월영교 및 원이엄마테마길
634,나정고운모래해변
2986,천년숲
2120,안동하회마을 만송정숲
1949,순긋해변
2060,씨라이프 부산아쿠아리움
485,국립두타산자연휴양림
3414,한강
337,경춘선자전거길
673,남이섬 관광안내소
658,남문
676,남이섬유원지 남이나루
675,남이섬유원지 겨울연가촬영지
3275,투개더파크
679,남이섬유원지 참전기념탑
678,남이섬유원지 은행나무길
1524,비밀의정원
2683,인제에서꽃길만걷자 가을꽃축제
2066,아들바위공원
1019,라이언 홀리데이 인 부산
511,국립해양박물관
1464,부산진시장
1870,속초시립박물관
1818,소금산출렁다리
2847,주전항
2306,영일교
3533,행복먹거리
1315,배니닭강정
148,강릉항회센터
715,놀랄호떡군만두
1855,소울코인뮤직
3138,춘천역자전거
3126,춘천명동길
2009,신북읍샘밭장터
581,기회송림유원지
2687,일등장터
2210,에이치에스비
1932,수승대관광지
207,거창창포원
3368,하동송림공원
2599,유로제다
1442,부산사직종합운동장 사직야구장
805,대구삼성라이온즈파크
1995,시크릿
3425,한반도뗏목마을
1737,선돌관광지
3225,태백산보덕사
3652,황매산 억새군락지
3283,파크로쉬리조트앤웰니스
2085,아우라지
1362,병방치스카이워크
633,나전역카페
3605,화암동굴
2413,올림픽공원
2929,진주유등축제
2932,진주중앙시장
3404,하조대해수욕장
1754,설악산 케이블카
947,동백공원
2871,중구문화의전당 함월홀
2665,이터널저니
2064,아난티코브 오시리아 산책로
1467,부산프랑스문화원 아트스페이스
749,달맞이길
1648,상국이네+해운대 해변
2857,죽도정
3403,하조대전망대
1426,부산 칠드런스 뮤지엄
293,경주세계문화엑스포재단
2305,영월패러글라이딩
2054,쏠비치 양양
121,강릉 임해자연 휴양림 통일안보전시관 공원
1225,물바람버섯농장
2249,연하계곡
3399,하이원하늘길 둘레길1구간
476,국립경주박물관 어린이박물관
1761,설악산국립공원 설악동탐방지원센터
285,경주보문실탄사격장
3189,캠프닉놀이터
551,금시당백곡재
1272,밀양강둔치
3172,칠서휴게소 양평방향
1577,사천항공엑스포
457,구문소농촌체험휴양마을
124,강릉네컷
2363,오리둥지 선물가게
26,BIFF광장
719,누리마루 APEC하우스
1894,송도해상케이블카 송도베이스테이션
1222,문화공감 수정
24,Area6
2349,오대산선재길
3144,춘천풍물시장
2421,와인터널
1014,떼루아드라마세트장
3045,청도읍성
3501,해운대구남로 문화광장
1767,설악산자생식물원
1246,미시령옛길
683,남천
398,곤륜산 활공장
1892,송도솔밭도시숲
3071,청초호
1463,부산진성
1445,부산시립박물관
1440,부산문화회관 전시실
3621,화천박물관
1513,붕어섬
3280,파로호전망대
542,금강산 계곡
1586,산천어커피박물관
159,강원나물밥 채원
3620,화천문화원
1684,서면역 부산1호선
1387,복천박물관
1689,서면지하상가
1280,밀양유원지 도깨비유원지
3338,표충사
241,경상남도수목원
2514,울산암각화박물관
1100,만동제과
2502,울산대공원 정문
839,대성교회
1746,선암서원
3452,할로윈남해
774,대관령 숲길
3314,평창송어축제
703,네일105
1369,보리암
737,다랭이마을 전망대
691,남해독일마을
1238,미국마을
1291,바이크스토리
2555,원주한지테마파크
1953,술이봉
2586,웰리힐리파크 워터플래닛
1324,백두산횟집
3484,해리단길
359,고래불해수욕장
510,국립해양과학관
3072,청초호수공원
3336,포항해상스카이워크
2726,장사상륙작전 전승기념관
1631,삼척장호어촌체험마을
2352,오도리간이해수욕장
2475,우양미술관
3536,향호
2984,천곡황금박쥐동굴
1193,묵호항수변공원
1177,무릉계곡관광지
3638,황남동고분군
3660,황산전통한옥마을
104,감악산풍력발전단지
1323,백두산천지온천
1676,서덕공원
204,거창스포츠파크
2416,와우동전노래연습장
2088,아지트보드게임카페
2463,용평리조트
882,덕구온천내 셀프다이닝
1117,망양정
3575,호텔덕구온천
2525,울진성당
2605,육반장
1416,부구리오일장
2521,울진 오일장
1241,미묘한
815,대구약령시문화거리
821,대구중구골목투어 근대문화골목(2코스)
3662,황실사우나찜질방
133,강릉슬로컬스테이션 농특산품판매관
1940,수제어묵고로케
130,강릉생태체험박물관 자연아놀자
1166,모자호떡
1265,민락회타운시장
2880,중앙야시장
796,대구근대밤마실투어
820,대구제일교회 역사관
436,교남YMCA회관
822,대구중구관광안내소
952,동부
2577,월화거리
1102,만세공원
3454,함안둑방길
3560,호국의병의숲 친수공원
65,가나다라브루어리
910,도솔마을
1657,상생의손
3293,팔우정공원
831,대릉원돌담길
902,도깨비촬영지
2798,정암해수욕장
72,가산수피아
3152,충혼기념탑
1771,설악워터피아 스파밸리
3380,하슬라가배
2914,진영두부마을
361,고래책방
3505,해운대블루라인
2358,오륙도
2272,영덕해파랑공원
2727,장사상륙작전전승기념공원
1144,메타세콰이어숲
3121,춘천닭갈비마을
3095,초량이바구길
828,대룡마을
2868,죽성드림세트장
46,F1963
1418,부네치아
3282,파이널나인 대구동성로
11,228기념중앙공원 청소년광장
437,교동귀금속거리
789,대구 엑스코 오디토리움
1875,속초중앙시장
2966,창원과학체험관
1628,삼척시립박물관
2867,죽서루
2368,오분해변
3174,칠성시장
3535,향촌문화관
1007,디아크
2132,안지랑곱창골목
1981,스파크랜드 대관람차
1635,삼척항대게거리
886,덕봉산해안생태탐방로
3088,초곡용굴촛대바위길
1279,밀양아리랑시장
2265,영남알프스 얼음골케이블카 매표소
2190,어달항
862,대진항
586,김삿갓아리랑장터
922,동강사진박물관
2246,연지공원
1831,소노펠리체 빌리지델피노
2099,안동2지구공원
2774,점봉산산림생태관리센터
403,곰배령
1457,부산요트투어 더베이
3184,캐스퍼 해운대전시장
2634,의암호 자전거길(의암호순환코스)
1006,등선폭포
1616,삼악산
2632,의암매표소
1922,수리봉
1032,레고랜드코리아리조트
1271,밀양 주말농장
1336,백운포체육공원 풋살장
1342,범어사
3290,팔공산케이블카
2582,웰리힐리파크
2580,웨스틴조선호텔 부산점 수영장
2017,신세계프리미엄아울렛 부산 BEAKER
855,대저생태공원
908,도림사
3622,화천서원
2764,전통문화콘텐츠박물관
1161,모디684
2117,안동태사묘
1421,부산 GAME D
182,개미집
2446,용두산
958,동성로로데오거리
589,김원일의 마당깊은 집
2995,천주교 대구대교구 성모당
1994,시인이상화고택
3537,향호해변
951,동백승마클럽
384,고성탈박물관
1111,말이산고분전시관
1130,멍비치
2884,지경리해수욕장
671,남애항 스카이워크전망대
1916,쇼핑몰
1884,솔밭길
3432,한섬해변
1039,레전드히어로즈
983,두류공원
2148,앞산전망대
816,대구약령시한의약박물관
19,83타워
2145,앞산
1788,성당못
2629,의성종합운동장
491,국립백두대간수목원 방문자센터
490,국립백두대간수목원
3583,홍천 사과 축제장
2998,천주교성지 원주 용소막 성당
2530,울진해양레포츠센터
543,금강송군락지
544,금강송에코리움
116,강구항
1352,베틀바위
2191,어달해변
1374,보문호 인근 뷰 맛집
1817,소금산그랜드밸리
2351,오데르향수공방
2600,유리알유희
3089,초당순두부마을
3030,청계천
2469,용화산 둘레길
3458,함안연꽃테마파크
3018,철원한탄강물윗길
1522,비둘기낭폭포
1857,소이산 전망대
553,금오랜드
459,구미새마을중앙시장
460,구미성리학역사관
563,금오산케이블카
556,금오산 올레길
3073,청초호유원지
2284,영랑호수공원
1911,송지호둘레길
382,고성왕곡마을
1910,송지호관망타워
1154,명인안동소주 동림직판장
2335,예안면
1992,시사단
3648,황리단길 선물 구매
3649,황리단길 소품샵
3335,포항함체험관
3310,평창루지랜드
1325,백룡동굴 생태체험학습장
944,동명해교
3552,현태네튀김
2934,진하해수욕장
1149,명선교
172,강정보디아크광장
1247,미쓰타이마사지
