,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
1640,a_a001953,A03,a001953,2,09
1641,a_a005623,A03,a005623,0,10
1642,a_a007719,A03,a007719,2,10
1643,a_a002684,A03,a002684,1,09
1644,a_a013665,A03,a013665,2,10
1645,a_a011596,A03,a011596,1,10
1646,a_a003123,A03,a003123,1,10
1647,a_a005421,A01,a005421,2,10
1648,a_a006274,A03,a006274,0,10
1649,a_a008006,A03,a008006,0,10
1650,a_a000556,A03,a000556,1,08
1651,a_a006890,A03,a006890,2,10
1652,a_a010181,A01,a010181,2,11
1653,a_a005281,A03,a005281,1,10
1654,a_a001615,A01,a001615,2,09
1655,a_a002303,A03,a002303,1,09
1656,a_a011301,A01,a011301,1,10
1657,a_a001065,A03,a001065,1,08
1658,a_a000801,A01,a000801,2,08
1659,a_a011090,A03,a011090,1,10
1660,a_a007854,A01,a007854,1,10
1661,a_a015688,A03,a015688,2,10
1662,a_a006044,A01,a006044,0,10
1663,a_a006850,A02,a006850,1,10
1664,a_a000483,A01,a000483,2,08
1665,a_a006376,A01,a006376,1,10
1666,a_a000358,A01,a000358,2,08
1667,a_a008522,A01,a008522,2,10
1668,a_a003227,A03,a003227,2,10
1669,a_a018102,A02,a018102,0,11
1670,a_a018056,A03,a018056,0,11
1671,b_b006816,A03,b006816,0,10
1672,a_a002001,A03,a002001,2,09
1673,a_a006081,A03,a006081,1,10
1674,a_a018133,A03,a018133,0,11
1675,a_a004797,A01,a004797,2,10
1676,a_a001333,A03,a001333,2,08
1677,a_a011721,A01,a011721,1,10
1678,b_b000146,A03,b000146,1,09
1679,a_a004562,A03,a004562,1,10
1680,a_a003285,A01,a003285,1,09
1681,a_a007391,A03,a007391,0,10
1682,a_a002957,A01,a002957,2,09
1683,a_a017703,A01,a017703,0,11
1684,a_a017922,A03,a017922,0,11
1685,a_a018137,A03,a018137,0,11
1686,a_a002857,A03,a002857,1,09
1687,a_a002401,A03,a002401,1,09
1688,a_a004565,A01,a004565,2,10
1689,a_a005674,A03,a005674,0,10
1690,a_a018124,A03,a018124,0,11
1691,a_a014913,A03,a014913,1,10
1692,a_a005655,A02,a005655,0,10
1693,a_a000751,A01,a000751,2,08
1694,a_a004472,A01,a004472,2,10
1695,a_a000035,A03,a000035,1,08
1696,a_a006321,A03,a006321,2,10
1697,a_a002372,A03,a002372,2,09
1698,a_a007254,A01,a007254,0,10
1699,a_a012288,A03,a012288,1,10
1700,a_a014786,A03,a014786,1,11
1701,a_a000756,A03,a000756,1,08
1702,a_a005625,A01,a005625,0,10
1703,a_a004395,A03,a004395,1,10
1704,a_a014996,A01,a014996,2,11
1705,a_a017912,A01,a017912,0,11
1706,a_a005614,A01,a005614,0,10
1707,a_a001462,A03,a001462,2,08
