,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RATING,VISIT_MM,MVMN_NM,TRAVEL_PURPOSE,TRAVEL_MISSION,TRAVEL_MM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS
1856,2481,a_a003622,a003622,임진강주상절리,경기 연천군 미산면 동이리 817,30.0,1,0.0,3.0,3.0,3.0,9.9,09,자가용,24;28;3;6;,24;28;3;6;,09,1,4,2,3,5,4,3.0,0.0,0.0
1857,356,a_a003305,a003305,광장시장,서울 종로구 예지동 2-1,60.0,4,1.0,4.0,5.0,4.0,14.0,10,대중교통 등,1;22;23;6;,1;22;23;6;,10,7,2,3,6,1,7,2.0,0.0,0.0
1858,912,a_a003305,a003305,리움미술관,서울 용산구 한남동 742-1,90.0,3,0.0,5.0,4.0,4.0,14.7,10,대중교통 등,1;22;23;6;,1;22;23;6;,10,7,2,3,6,1,7,2.0,0.0,0.0
1859,2372,a_a003305,a003305,이태원거리,서울 용산구 이태원동 119-23,30.0,4,1.0,3.0,3.0,3.0,9.9,10,대중교통 등,1;22;23;6;,1;22;23;6;,10,7,2,3,6,1,7,2.0,0.0,0.0
1860,758,a_a003305,a003305,동대문디자인플라자,서울 중구 을지로7가 2-1,120.0,3,1.0,5.0,5.0,5.0,16.5,10,대중교통 등,1;22;23;6;,1;22;23;6;,10,7,2,3,6,1,7,2.0,0.0,0.0
1861,1829,a_a003305,a003305,아이파크몰,서울 용산구 한강로3가 40-999,90.0,4,1.0,5.0,5.0,5.0,16.5,10,대중교통 등,1;22;23;6;,1;22;23;6;,10,7,2,3,6,1,7,2.0,0.0,0.0
1862,480,a_a017709,a017709,금나래중앙공원,서울 금천구 독산동 1151,30.0,1,0.0,4.0,4.0,4.0,13.2,11,,1;22;26;5;,1;22;26;5;,11,6,2,6,6,2,6,2.0,0.0,0.0
1863,1676,a_a004348,a004348,수원화성 화서문 안내소,경기 수원시 팔달구 장안동 322-25,30.0,2,1.0,4.0,4.0,4.0,13.2,10,대중교통 등,1;12;3;4;9;,1;12;3;4;9;,09,3,2,6,6,6,2,1.0,0.0,0.0
1864,1655,a_a004348,a004348,수원통닭거리,경기 수원시 팔달구 남수동 158-2,30.0,4,0.0,3.0,3.0,3.0,9.9,09,대중교통 등,1;12;3;4;9;,1;12;3;4;9;,09,3,2,6,6,6,2,1.0,0.0,0.0
1865,1976,a_a004348,a004348,에버랜드,경기 용인시 처인구 포곡읍 전대리 310,420.0,6,1.0,4.0,3.0,3.0,11.4,09,대중교통 등,1;12;3;4;9;,1;12;3;4;9;,09,3,2,6,6,6,2,1.0,0.0,0.0
1866,3211,a_a004348,a004348,화성행궁,경기 수원시 팔달구 남창동 6-2,120.0,2,0.0,4.0,3.0,3.0,11.4,10,대중교통 등,1;12;3;4;9;,1;12;3;4;9;,09,3,2,6,6,6,2,1.0,0.0,0.0
1867,1683,a_a004348,a004348,수원화성박물관,경기 수원시 팔달구 매향동 49,60.0,2,0.0,4.0,4.0,4.0,13.2,10,대중교통 등,1;12;3;4;9;,1;12;3;4;9;,09,3,2,6,6,6,2,1.0,0.0,0.0
1868,1655,a_a004348,a004348,수원통닭거리,경기 수원시 팔달구 남수동 158-2,60.0,4,1.0,4.0,3.0,3.0,11.4,10,대중교통 등,1;12;3;4;9;,1;12;3;4;9;,09,3,2,6,6,6,2,1.0,0.0,0.0
1869,1658,a_a004348,a004348,수원화성,경기 수원시 장안구 영화동 320-2,60.0,2,0.0,4.0,4.0,4.0,13.2,10,대중교통 등,1;12;3;4;9;,1;12;3;4;9;,09,3,2,6,6,6,2,1.0,0.0,0.0
1870,1666,a_a004348,a004348,수원화성 서남암문,경기 수원시 팔달구 교동 6-197,30.0,2,0.0,4.0,3.0,3.0,11.4,10,대중교통 등,1;12;3;4;9;,1;12;3;4;9;,09,3,2,6,6,6,2,1.0,0.0,0.0
1871,1639,a_a004348,a004348,수원시립미술관,경기 수원시 팔달구 신풍동 238-1,60.0,3,0.0,4.0,4.0,4.0,13.2,10,대중교통 등,1;12;3;4;9;,1;12;3;4;9;,09,3,2,6,6,6,2,1.0,0.0,0.0
1872,1722,a_a002344,a002344,스타필드시티 부천,경기 부천시 옥길동 768,60.0,4,1.0,4.0,4.0,4.0,13.2,10,자가용,1;23;,1;23;,10,4,2,5,3,2,5,2.0,0.0,0.0
1873,901,a_a002344,a002344,롯데프리미엄아울렛 타임빌라스,경기 의왕시 학의동 1039,240.0,4,0.0,4.0,4.0,4.0,13.2,10,자가용,1;23;,1;23;,10,4,2,5,3,2,5,2.0,0.0,0.0
1874,2540,a_a004768,a004768,전곡선사박물관,경기 연천군 전곡읍 전곡리 170-2,60.0,2,0.0,4.0,4.0,4.0,13.2,10,자가용,3;,3;,10,7,6,7,5,6,2,3.0,1.0,0.0
1875,2540,a_a004768,a004768,전곡선사박물관,경기 연천군 전곡읍 전곡리 170-2,60.0,2,0.0,5.0,5.0,5.0,16.5,10,자가용,3;,3;,10,7,6,7,5,6,2,3.0,1.0,0.0
1876,2062,a_a004768,a004768,연천전곡리선사유적지,경기 연천군 전곡읍 전곡리 529,90.0,2,0.0,4.0,4.0,4.0,13.2,10,자가용,3;,3;,10,7,6,7,5,6,2,3.0,1.0,0.0
1877,3073,a_a005655,a005655,해돋이공원,인천 연수구 송도동 5-1,30.0,1,1.0,5.0,3.0,3.0,12.9,10,,21;22;4;,21;22;4;,10,5,2,3,5,1,4,2.0,0.0,0.0
1878,1588,a_a005655,a005655,송도센트럴파크,인천 연수구 송도동 24-5,60.0,7,1.0,5.0,5.0,5.0,16.5,10,,21;22;4;,21;22;4;,10,5,2,3,5,1,4,2.0,0.0,0.0
1879,2854,a_a005655,a005655,트리플스트리트,인천 연수구 송도동 176-1,90.0,4,1.0,5.0,5.0,5.0,16.5,10,,21;22;4;,21;22;4;,10,5,2,3,5,1,4,2.0,0.0,0.0
1880,1114,a_a006081,a006081,백남준아트센터,경기 용인시 기흥구 상갈동 496,30.0,3,0.0,4.0,4.0,4.0,13.2,10,자가용,2;22;,2;22;,10,2,2,4,5,2,6,3.0,0.0,0.0
1881,3157,a_a006081,a006081,호암미술관 전통정원희원,경기 용인시 처인구 포곡읍 가실리 207-6,120.0,3,0.0,4.0,4.0,4.0,13.2,10,자가용,2;22;,2;22;,10,2,2,4,5,2,6,3.0,0.0,0.0
1882,3203,a_a002966,a002966,화성시가족센터,경기 화성시 병점동 734,30.0,3,0.0,4.0,4.0,5.0,14.2,09,대중교통 등,3;4;5;7;9;,3;4;5;7;9;,09,4,3,2,5,2,5,1.0,0.0,0.0
1883,533,a_a017753,a017753,낙양물사랑공원,경기 의정부시 낙양동 697,30.0,1,0.0,4.0,4.0,4.0,13.2,11,,4;,4;,11,2,1,6,3,2,3,1.0,0.0,0.0
1884,1057,a_a017753,a017753,민락2지구 중심상가거리,,60.0,4,1.0,4.0,4.0,4.0,13.2,11,,4;,4;,11,2,1,6,3,2,3,1.0,0.0,0.0
1885,2329,a_a017753,a017753,의정부미술도서관,경기 의정부시 민락동 855,60.0,3,0.0,5.0,5.0,5.0,16.5,11,,4;,4;,11,2,1,6,3,2,3,1.0,0.0,0.0
1886,1866,a_a007778,a007778,안녕인사동,서울 종로구 관훈동 155-2,60.0,3,0.0,5.0,5.0,5.0,16.5,10,대중교통 등,3;22;4;12;26;6;7;,3;22;4;12;26;6;7;,10,2,3,6,4,2,7,2.0,0.0,0.0
1887,2792,a_a007778,a007778,콤콤오락실,서울 종로구 익선동 171-1,30.0,13,0.0,4.0,4.0,4.0,13.2,10,대중교통 등,3;22;4;12;26;6;7;,3;22;4;12;26;6;7;,10,2,3,6,4,2,7,2.0,0.0,0.0
