,VISIT_ID,TAG
446,589,자연
447,592,자연
448,595,
449,596,
450,598,도시
451,599,자연
452,601,
453,602,자연
454,604,
455,605,
456,606,
457,607,자연
458,612,자연
459,613,
460,614,
461,615,
462,616,자연
463,620,
464,626,휴양/휴식
465,627,익숙한 지역
466,628,자연
467,629,
468,630,
469,632,
470,633,
471,634,
472,635,
473,636,도시
474,637,자연
475,639,자연
476,640,자연
477,641,
478,642,자연
479,643,
480,645,자연
481,646,자연
482,647,
483,649,
484,650,
485,651,사진촬영 중요
486,652,자연
487,654,"도시, 자연"
488,655,
489,656,도시
490,657,도시
491,659,
492,661,
493,662,도시
494,663,새로운 지역
495,664,
496,665,
497,666,새로운 지역
498,667,휴양/휴식
499,668,도시
500,669,자연
501,670,
502,671,
503,672,자연
504,673,새로운 지역
505,674,
506,675,새로운 지역
507,676,
508,677,자연
509,678,자연
510,679,
511,680,
512,682,
513,683,
514,684,
515,685,
516,686,
517,687,
518,688,
519,689,
520,691,
521,692,도시
522,693,자연
523,694,자연
524,695,
525,697,
526,698,자연
527,699,
528,701,
529,702,새로운 지역
530,703,
531,704,새로운 지역
532,705,
533,707,
534,708,계획에 따른 여행
535,715,새로운 지역
536,716,
537,717,
538,718,
539,719,자연
540,720,
541,721,
542,722,새로운 지역
543,724,자연
544,725,도시
545,726,
546,727,휴양/휴식
547,728,새로운 지역
548,729,자연
549,731,"새로운 지역, 체험활동"
550,733,
551,734,
552,735,자연
553,737,
554,738,
555,739,새로운 지역
556,740,
557,742,새로운 지역
558,743,자연
559,744,
560,745,새로운 지역
561,748,자연
562,750,
563,751,
564,752,자연
565,753,
566,754,상황에 따른 여행
567,755,
568,756,
569,757,도시
570,758,
571,759,새로운 지역
572,760,
573,761,자연
574,762,
575,763,
576,764,
577,765,
578,766,새로운 지역
579,767,자연
580,768,
581,769,새로운 지역
582,770,새로운 지역
583,771,새로운 지역
584,773,
585,774,
586,775,새로운 지역
587,776,자연
588,777,휴양/휴식
589,779,새로운 지역
590,780,자연
591,782,새로운 지역
592,783,
593,784,
594,785,
595,786,
596,787,새로운 지역
597,789,자연
598,790,자연
599,791,
600,793,새로운 지역
601,796,자연
602,797,자연
603,798,
604,799,
605,800,자연
606,801,도시
607,802,
608,803,체험활동
609,804,
610,806,새로운 지역
611,807,
612,808,
613,809,
614,810,자연
615,811,
616,812,
617,813,
618,815,새로운 지역
619,816,
620,817,자연
621,820,사진촬영 중요
622,824,
623,825,새로운 지역
624,826,자연
625,828,자연
626,830,
627,831,자연
628,832,체험활동
629,833,
630,834,자연
631,835,
632,836,사진촬영 중요하지 않음
633,837,
634,838,
635,839,
636,840,체험활동
637,841,
638,842,
639,843,
640,845,익숙한 지역
641,846,자연
642,847,
643,849,
644,850,
645,852,
646,855,
647,856,
648,857,
649,858,새로운 지역
650,859,도시
651,860,
652,862,
653,866,
654,868,자연
655,869,새로운 지역
656,871,도시
657,872,
658,873,
659,875,
660,876,자연
661,878,
662,879,잘 알려지지 않은 방문지
663,880,새로운 지역
664,881,도시
665,883,
666,884,자연
667,886,자연
668,887,
669,888,
670,889,
671,890,자연
672,891,
673,892,
674,894,
675,895,도시
676,896,
677,897,자연
678,898,
679,899,
680,900,자연
681,901,
682,902,자연
683,905,
684,907,자연
685,908,자연
686,909,
687,910,
688,911,
689,912,도시
690,913,새로운 지역
691,914,
692,915,
693,916,
694,917,자연
695,918,자연
696,920,새로운 지역
697,922,
698,923,
699,924,
700,925,
701,928,자연
702,929,상황에 따른 여행
703,933,새로운 지역
704,934,자연
705,936,
706,937,
707,938,
708,940,
709,941,
710,942,
711,943,
712,944,
713,945,새로운 지역
714,946,
715,947,자연
716,948,
717,949,
718,951,
719,955,
720,956,
721,958,
722,959,자연
723,960,도시
724,961,자연
725,963,사진촬영 중요
726,965,휴양/휴식
727,966,도시
728,969,
729,972,
730,973,
731,975,
732,976,
733,977,
734,978,
735,979,자연
736,980,
737,981,
738,982,
739,983,자연
740,984,
741,985,
742,986,
743,987,
744,989,
745,991,자연
746,992,
747,993,
748,994,
749,995,"도시, 자연"
750,996,자연
751,997,
752,1000,
753,1001,
754,1002,
755,1003,새로운 지역
756,1004,도시
757,1005,도시
758,1006,체험활동
759,1007,
760,1008,
761,1009,
762,1011,자연
763,1012,자연
764,1013,자연
765,1014,
766,1015,
767,1017,
768,1018,
769,1020,
770,1021,
771,1022,
772,1024,
773,1026,
774,1027,자연
775,1028,
776,1030,
777,1031,
778,1032,
779,1033,자연
780,1038,
781,1039,
782,1041,
783,1042,
784,1043,익숙한 지역
785,1044,
786,1045,도시
787,1046,
788,1047,
789,1048,
790,1049,
791,1050,도시
792,1053,
793,1054,자연
794,1055,
795,1056,잘 알려지지 않은 방문지
796,1057,
797,1061,
798,1062,
799,1063,
800,1064,
801,1065,
802,1066,
803,1067,
804,1069,자연
805,1070,
806,1071,자연
807,1072,익숙한 지역
808,1073,도시
809,1074,새로운 지역
810,1076,
811,1077,
812,1079,자연
813,1082,자연
814,1083,
815,1086,도시
816,1087,익숙한 지역
817,1088,
818,1089,
819,1091,자연
820,1092,자연
821,1093,
822,1095,
823,1096,
824,1097,자연
825,1098,새로운 지역
826,1100,
827,1101,
828,1102,
829,1103,자연
830,1104,상황에 따른 여행
831,1106,
832,1107,
833,1108,
834,1109,상황에 따른 여행
835,1110,자연
836,1113,상황에 따른 여행
837,1114,자연
838,1115,자연
839,1117,
840,1119,
841,1120,자연
842,1121,
843,1122,
844,1124,
845,1125,자연
846,1126,
847,1128,
848,1129,자연
849,1131,
850,1133,
851,1134,
852,1135,자연
853,1136,
854,1137,
855,1138,
856,1139,도시
857,1141,
858,1144,
859,1145,자연
860,1146,
861,1147,
862,1148,
863,1149,
864,1150,자연
865,1151,
866,1152,
867,1153,
868,1154,
869,1155,자연
870,1156,새로운 지역
871,1158,
872,1159,자연
873,1162,
874,1163,도시
875,1164,자연
876,1165,새로운 지역
877,1166,자연
878,1167,
879,1168,자연
880,1169,
881,1170,
882,1171,
883,1172,
884,1173,
885,1174,사진촬영 중요
886,1175,자연
887,1177,
888,1178,도시
889,1179,
890,1180,익숙한 지역
891,1181,
892,1182,자연
893,1184,
894,1185,
895,1186,자연
896,1187,자연
897,1188,
898,1190,자연
899,1191,
900,1192,자연
901,1195,
902,1196,
903,1197,
904,1198,자연
905,1199,
906,1203,자연
907,1204,자연
908,1206,
909,1208,자연
910,1209,
911,1211,자연
912,1212,
913,1213,
914,1214,자연
915,1216,
916,1217,
917,1219,
918,1220,
919,1221,자연
920,1222,체험활동
921,1223,"계획에 따른 여행, 휴양/휴식"
922,1224,자연
923,1225,휴양/휴식
924,1226,도시
925,1227,
926,1228,
927,1229,
928,1231,
929,1232,새로운 지역
930,1235,
931,1236,
932,1237,자연
933,1238,
934,1240,
935,1241,자연
936,1243,
937,1245,새로운 지역
938,1247,도시
939,1249,
940,1250,새로운 지역
941,1251,자연
942,1253,
943,1254,
944,1255,
945,1256,자연
946,1257,
947,1258,
948,1259,자연
949,1260,
950,1261,
951,1262,자연
952,1263,도시
953,1264,자연
954,1265,
955,1266,자연
956,1267,
957,1268,자연
958,1269,자연
959,1271,
960,1272,
961,1273,
962,1274,
963,1275,
964,1276,
965,1277,
966,1278,
967,1279,
968,1280,
969,1281,자연
970,1282,
971,1283,
972,1286,자연
973,1287,
974,1288,
975,1289,
976,1291,
977,1292,자연
978,1294,자연
979,1295,자연
980,1296,
981,1297,
982,1298,
983,1299,자연
984,1300,알려지지 않은 방문지
985,1301,알려지지 않은 방문지
986,1302,도시
987,1306,
988,1307,
989,1308,
990,1309,
991,1311,자연
992,1312,계획에 따른 여행
993,1313,
994,1314,
995,1315,
996,1316,
997,1317,자연
998,1318,
999,1319,
1000,1320,
1001,1321,자연
1002,1323,자연
1003,1324,자연
1004,1325,
1005,1326,자연
1006,1327,
1007,1328,휴양/휴식
1008,1329,자연
1009,1330,자연
1010,1332,
1011,1333,
1012,1335,도시
1013,1336,
1014,1337,
1015,1338,도시
1016,1339,휴양/휴식
1017,1340,새로운 지역
1018,1341,
1019,1342,
1020,1343,자연
1021,1344,자연
1022,1348,도시
1023,1349,자연
1024,1350,
1025,1351,자연
1026,1353,자연
1027,1354,
1028,1355,
1029,1356,
1030,1357,자연
1031,1358,
1032,1359,
1033,1360,
1034,1361,자연
1035,1364,
1036,1366,도시
1037,1367,"사진촬영 중요, 자연"
1038,1369,자연
1039,1371,자연
1040,1372,
1041,1373,
1042,1374,자연
1043,1377,
1044,1378,자연
1045,1381,
1046,1382,새로운 지역
1047,1383,도시
1048,1384,
1049,1385,
1050,1386,자연
1051,1387,휴양/휴식
1052,1388,
1053,1389,
1054,1390,"새로운 지역, 알려지지 않은 방문지"
1055,1391,
1056,1393,
1057,1394,새로운 지역
1058,1395,
1059,1397,새로운 지역
1060,1398,
1061,1399,
1062,1400,
1063,1401,새로운 지역
1064,1402,
1065,1403,휴양/휴식
1066,1404,
1067,1405,
1068,1406,
1069,1407,
1070,1408,
1071,1409,
1072,1410,
1073,1412,자연
1074,1413,새로운 지역
1075,1415,
1076,1416,도시
1077,1417,자연
1078,1419,
1079,1420,
1080,1421,
1081,1422,새로운 지역
1082,1423,새로운 지역
1083,1424,
1084,1425,
1085,1426,새로운 지역
1086,1427,새로운 지역
1087,1429,
1088,1430,"도시, 새로운 지역"
1089,1432,
1090,1433,자연
1091,1434,익숙한 지역
1092,1435,새로운 지역
1093,1437,
1094,1438,자연
1095,1439,
1096,1442,자연
1097,1443,자연
1098,1450,자연
1099,1451,
1100,1452,도시
1101,1453,자연
1102,1454,
1103,1455,
1104,1456,
1105,1458,
1106,1459,새로운 지역
1107,1460,
1108,1461,도시
1109,1463,
1110,1464,
1111,1466,
1112,1467,
1113,1468,
1114,1469,휴양/휴식
1115,1470,
1116,1471,
1117,1472,
1118,1473,
1119,1474,사진촬영 중요하지 않음
1120,1475,
1121,1476,자연
1122,1477,도시
1123,1478,
1124,1480,
1125,1481,익숙한 지역
1126,1482,사진촬영 중요하지 않음
1127,1483,자연
1128,1484,익숙한 지역
1129,1488,
1130,1489,
1131,1490,
1132,1491,
1133,1492,새로운 지역
1134,1493,
1135,1494,
1136,1495,자연
1137,1496,
1138,1498,
1139,1499,새로운 지역
1140,1500,
1141,1501,새로운 지역
1142,1502,새로운 지역
1143,1503,
1144,1504,도시
1145,1505,
1146,1506,
1147,1507,
1148,1508,자연
1149,1509,
1150,1510,자연
1151,1511,
1152,1512,
1153,1514,
1154,1515,도시
1155,1517,
1156,1518,자연
1157,1521,새로운 지역
1158,1522,
1159,1523,사진촬영 중요
1160,1524,
1161,1525,자연
1162,1526,
1163,1527,
1164,1528,계획에 따른 여행
1165,1529,
1166,1531,휴양/휴식
1167,1532,
1168,1533,새로운 지역
1169,1536,
1170,1537,자연
1171,1538,자연
1172,1539,
1173,1540,
1174,1542,
1175,1543,
1176,1544,
1177,1545,
1178,1546,
1179,1549,
1180,1551,체험활동
1181,1552,새로운 지역
1182,1553,
1183,1554,
1184,1555,
1185,1556,도시
1186,1557,
1187,1558,자연
1188,1560,
1189,1562,자연
1190,1563,"도시, 익숙한 지역"
1191,1564,휴양/휴식
1192,1565,
1193,1566,도시
1194,1567,휴양/휴식
1195,1568,자연
1196,1569,
1197,1570,
1198,1571,
1199,1572,
1200,1574,
1201,1575,자연
1202,1576,자연
1203,1577,
1204,1580,
1205,1581,
1206,1583,
1207,1584,새로운 지역
1208,1585,
1209,1587,휴양/휴식
1210,1588,
1211,1589,자연
1212,1590,자연
1213,1592,
1214,1595,
1215,1596,
1216,1597,자연
1217,1598,
1218,1601,
1219,1604,
1220,1605,
1221,1606,도시
1222,1607,
1223,1608,
1224,1609,자연
1225,1616,익숙한 지역
1226,1619,
1227,1621,
1228,1623,
1229,1624,
1230,1625,
1231,1626,
1232,1627,
1233,1628,
1234,1629,
1235,1630,
1236,1631,자연
1237,1632,
1238,1633,
1239,1634,
1240,1635,
1241,1636,
1242,1637,
1243,1638,자연
1244,1639,
1245,1641,
1246,1642,
1247,1643,
1248,1645,
1249,1646,
1250,1647,
1251,1648,자연
1252,1649,도시
1253,1651,
1254,1654,
1255,1655,
1256,1656,
1257,1657,자연
1258,1658,
1259,1659,익숙한 지역
1260,1661,자연
1261,1662,
1262,1664,
1263,1665,
1264,1666,상황에 따른 여행
1265,1667,
1266,1668,
1267,1669,새로운 지역
1268,1670,
1269,1672,
1270,1673,
1271,1675,
1272,1676,
1273,1677,알려지지 않은 방문지
1274,1678,
1275,1679,새로운 지역
1276,1680,
1277,1681,
1278,1682,
1279,1683,
1280,1685,
1281,1687,
1282,1688,자연
1283,1689,자연
1284,1690,자연
1285,1691,자연
1286,1692,자연
1287,1693,새로운 지역
1288,1694,새로운 지역
1289,1695,자연
1290,1696,
1291,1698,
1292,1699,
1293,1700,자연
1294,1701,새로운 지역
1295,1702,자연
1296,1703,휴양/휴식
1297,1704,
1298,1705,
1299,1706,
1300,1708,도시
1301,1712,휴양/휴식
1302,1713,도시
1303,1716,
1304,1717,도시
1305,1718,
1306,1719,
1307,1720,
1308,1721,
1309,1722,
1310,1724,자연
1311,1725,익숙한 지역
1312,1727,
1313,1728,
1314,1732,
1315,1734,
1316,1735,
1317,1736,자연
1318,1739,
1319,1740,자연
1320,1742,
1321,1743,
1322,1744,사진촬영 중요하지 않음
1323,1747,자연
1324,1749,자연
1325,1750,
1326,1751,
1327,1753,자연
1328,1755,자연
1329,1758,자연
1330,1759,
1331,1760,익숙한 지역
1332,1762,익숙한 지역
1333,1763,
1334,1765,
1335,1766,
1336,1767,
1337,1768,계획에 따른 여행
1338,1769,자연
1339,1771,
1340,1772,
1341,1773,자연
1342,1774,
1343,1775,
1344,1776,자연
1345,1777,
1346,1778,
1347,1779,도시
1348,1780,
1349,1781,새로운 지역
1350,1782,자연
1351,1784,
1352,1785,
1353,1786,
1354,1787,자연
1355,1788,
1356,1791,자연
1357,1792,사진촬영 중요
1358,1793,
1359,1795,
1360,1796,
1361,1798,
1362,1799,
1363,1800,
1364,1801,
1365,1802,새로운 지역
1366,1804,
1367,1807,도시
1368,1810,
1369,1812,
1370,1813,
1371,1814,자연
1372,1816,
1373,1817,새로운 지역
1374,1818,
1375,1820,
1376,1821,자연
1377,1823,
1378,1824,새로운 지역
1379,1826,휴양/휴식
1380,1828,
1381,1829,
1382,1830,자연
1383,1831,자연
1384,1832,자연
1385,1834,도시
1386,1835,자연
1387,1836,
1388,1837,
1389,1839,
1390,1840,
1391,1841,
1392,1842,
1393,1843,새로운 지역
1394,1844,
1395,1845,새로운 지역
1396,1848,자연
1397,1850,
1398,1851,새로운 지역
1399,1852,
1400,1853,도시
1401,1854,사진촬영 중요
1402,1855,새로운 지역
1403,1856,
1404,1857,새로운 지역
1405,1858,
1406,1859,
1407,1860,
1408,1862,
1409,1864,
1410,1866,자연
1411,1867,익숙한 지역
1412,1868,도시
1413,1869,도시
1414,1870,새로운 지역
1415,1872,자연
1416,1873,휴양/휴식
1417,1876,
1418,1879,
1419,1882,도시
1420,1883,
1421,1884,
1422,1885,알려지지 않은 방문지
1423,1887,
1424,1888,
1425,1889,
1426,1891,새로운 지역
1427,1893,
1428,1896,
1429,1899,
1430,1900,도시
1431,1901,새로운 지역
1432,1903,새로운 지역
1433,1904,자연
1434,1905,자연
1435,1906,
1436,1908,도시
1437,1909,
1438,1911,새로운 지역
1439,1912,
1440,1913,새로운 지역
1441,1914,
1442,1915,
1443,1916,
1444,1918,
1445,1922,
1446,1923,
1447,1924,
1448,1925,
1449,1927,
1450,1928,
1451,1929,자연
1452,1931,
1453,1932,
1454,1934,
1455,1935,
1456,1936,
1457,1937,
1458,1938,자연
1459,1941,자연
1460,1942,
1461,1943,
1462,1944,
1463,1945,
1464,1946,
1465,1947,자연
1466,1948,자연
1467,1949,
1468,1950,사진촬영 중요
1469,1953,
1470,1954,
1471,1956,
1472,1957,자연
1473,1958,체험활동
1474,1959,
1475,1960,
1476,1961,"새로운 지역, 익숙한 지역"
1477,1963,자연
1478,1964,새로운 지역
1479,1965,도시
1480,1968,
1481,1970,
1482,1973,도시
1483,1975,
1484,1976,
1485,1977,새로운 지역
1486,1978,자연
1487,1979,새로운 지역
1488,1980,체험활동
1489,1981,새로운 지역
1490,1982,자연
1491,1983,"자연, 체험활동"
1492,1984,
1493,1985,체험활동
1494,1986,체험활동
1495,1987,"새로운 지역, 자연"
1496,1988,자연
1497,1989,
1498,1990,"자연, 체험활동"
1499,1991,체험활동
1500,1992,체험활동
1501,1993,도시
1502,1995,
1503,1997,
1504,1998,
1505,1999,새로운 지역
1506,2000,새로운 지역
1507,2004,휴양/휴식
1508,2006,
1509,2009,자연
1510,2011,자연
1511,2012,자연
1512,2013,자연
1513,2014,자연
1514,2015,자연
1515,2016,
1516,2017,자연
1517,2018,자연
1518,2020,
1519,2021,
1520,2023,
1521,2025,
1522,2026,자연
1523,2028,계획에 따른 여행
1524,2029,
1525,2030,
1526,2031,
1527,2032,
1528,2033,자연
1529,2034,새로운 지역
1530,2036,
1531,2039,자연
1532,2040,자연
1533,2042,자연
1534,2045,자연
1535,2047,
1536,2050,자연
1537,2051,
1538,2052,도시
1539,2055,새로운 지역
1540,2057,자연
1541,2058,자연
1542,2059,
1543,2060,
1544,2061,새로운 지역
1545,2062,
1546,2064,
1547,2067,
1548,2068,
1549,2069,익숙한 지역
1550,2070,
1551,2072,자연
1552,2073,
1553,2075,휴양/휴식
1554,2077,
1555,2078,
1556,2079,
1557,2080,
1558,2081,
1559,2082,
1560,2084,도시
1561,2085,새로운 지역
1562,2086,체험활동
1563,2089,새로운 지역
1564,2090,
1565,2091,
1566,2092,자연
1567,2094,도시
1568,2095,
1569,2096,휴양/휴식
1570,2098,
1571,2099,도시
1572,2102,자연
1573,2105,
1574,2107,
1575,2108,새로운 지역
1576,2110,
1577,2111,휴양/휴식
1578,2112,휴양/휴식
1579,2113,
1580,2114,새로운 지역
1581,2115,자연
1582,2116,자연
1583,2117,새로운 지역
1584,2120,
1585,2121,
1586,2122,
1587,2123,
1588,2124,자연
1589,2125,자연
1590,2126,새로운 지역
1591,2127,새로운 지역
1592,2128,자연
1593,2130,
1594,2131,
1595,2132,도시
1596,2133,자연
1597,2134,
1598,2135,
1599,2136,자연
1600,2137,자연
1601,2138,자연
1602,2140,
1603,2141,자연
1604,2142,
1605,2143,자연
1606,2145,
1607,2146,
1608,2148,자연
1609,2149,
1610,2150,
1611,2151,
1612,2152,
1613,2154,
1614,2155,자연
1615,2156,
1616,2157,
1617,2158,
1618,2159,
1619,2161,자연
1620,2162,
1621,2163,자연
1622,2166,
1623,2169,자연
1624,2170,
1625,2172,자연
1626,2173,도시
1627,2174,
1628,2175,
1629,2176,자연
1630,2177,
1631,2178,
1632,2179,
1633,2180,
1634,2181,자연
1635,2183,
1636,2185,"계획에 따른 여행, 자연"
1637,2187,자연
1638,2188,도시
1639,2189,
1640,2190,자연
1641,2191,자연
1642,2192,계획에 따른 여행
1643,2193,
1644,2195,
1645,2196,
1646,2198,
1647,2199,자연
1648,2200,
1649,2201,
1650,2202,
1651,2203,자연
1652,2204,도시
1653,2207,자연
1654,2208,
1655,2211,자연
1656,2212,자연
1657,2213,자연
1658,2217,자연
1659,2218,
1660,2219,
1661,2220,
1662,2221,자연
1663,2222,자연
1664,2223,
1665,2224,
1666,2225,자연
1667,2226,자연
1668,2227,
1669,2228,
1670,2229,
1671,2230,새로운 지역
1672,2231,
1673,2232,
1674,2233,
1675,2234,자연
1676,2235,자연
1677,2236,
1678,2237,
1679,2238,
1680,2239,
1681,2241,자연
1682,2242,
1683,2243,새로운 지역
1684,2244,자연
1685,2245,
1686,2246,새로운 지역
1687,2247,
1688,2248,
1689,2249,
1690,2250,"새로운 지역, 자연"
1691,2251,
1692,2252,새로운 지역
1693,2253,
1694,2256,
1695,2257,자연
1696,2258,
1697,2259,
1698,2260,
1699,2261,
1700,2262,도시
1701,2263,
1702,2264,
1703,2265,
1704,2266,
1705,2267,
1706,2268,
1707,2270,
1708,2271,자연
1709,2272,자연
1710,2273,
1711,2274,새로운 지역
1712,2279,도시
1713,2281,"도시, 자연"
1714,2283,새로운 지역
1715,2284,자연
1716,2285,자연
1717,2286,자연
1718,2287,
1719,2293,
1720,2295,
1721,2296,자연
1722,2297,새로운 지역
1723,2298,
1724,2299,휴양/휴식
1725,2301,자연
1726,2302,
1727,2303,자연
1728,2305,새로운 지역
1729,2306,자연
1730,2307,자연
1731,2309,
1732,2310,
1733,2311,자연
1734,2313,
1735,2314,
1736,2318,
1737,2319,새로운 지역
1738,2320,도시
1739,2321,자연
1740,2325,자연
1741,2326,
1742,2328,체험활동
1743,2329,"자연, 잘 알려지지 않은 방문지"
1744,2330,새로운 지역
1745,2331,
1746,2332,
1747,2333,새로운 지역
1748,2335,
1749,2336,
1750,2337,
1751,2338,
1752,2339,
1753,2340,
1754,2344,
1755,2345,
1756,2346,
1757,2348,
1758,2350,
1759,2352,
1760,2353,
1761,2354,
1762,2355,
1763,2356,자연
1764,2357,자연
1765,2359,자연
1766,2360,자연
1767,2361,자연
1768,2362,자연
1769,2363,
1770,2364,
1771,2365,알려지지 않은 방문지
1772,2366,
1773,2367,
1774,2368,자연
1775,2369,
1776,2372,
1777,2374,
1778,2375,
1779,2376,새로운 지역
1780,2377,새로운 지역
1781,2379,
1782,2380,자연
1783,2381,
1784,2382,자연
1785,2384,
1786,2385,
1787,2386,
