,VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,VISIT_ID,RATING
0,2210300006,a_a015688,프로방스마을,경기 파주시 탄현면 성동리 82-1,60.0,7,1.0,4.0,4.0,4.0,10,3438,13.2
3,2208200003,a_a000491,더현대서울,서울 영등포구 여의도동 22,180.0,4,0.0,5.0,5.0,5.0,08,823,16.5
4,2208110007,a_a000172,강릉중앙시장,강원 강릉시 성남동 50,30.0,4,0.0,4.0,4.0,4.0,08,185,13.2
5,2208270003,a_a000554,청계천,서울 종로구 서린동 148,60.0,7,0.0,4.0,4.0,4.0,08,3124,13.2
12,2210140002,a_a005195,삼송역 3호선,경기 고양시 덕양구 삼송동 18-5,0.0,7,0.0,3.0,2.0,3.0,10,1499,9.1
17,2210080005,a_a003234,서울 그로서리 클럽,,30.0,3,0.0,4.0,3.0,3.0,10,1563,11.4
18,2210040004,a_a004298,제부도 워터워크,경기 화성시 서신면 송교리 377-46,0.0,2,0.0,2.0,3.0,3.0,10,2990,8.4
19,2211120002,a_a018121,의정부제일시장,경기 의정부시 의정부동 160,60.0,4,0.0,5.0,5.0,5.0,11,2670,16.5
24,2210090001,a_a003810,더현대서울,서울 영등포구 여의도동 22,90.0,3,0.0,5.0,5.0,5.0,10,823,16.5
25,2209030004,a_a000537,경복궁,서울 종로구 세종로 1-91,30.0,2,1.0,3.0,3.0,3.0,09,258,9.9
28,2209180002,a_a002400,갤러리아백화점 타임월드점,대전 서구 둔산동 1038,30.0,4,1.0,3.0,3.0,3.0,09,213,9.9
30,2210020004,a_a003071,자라섬재즈페스티벌,경기 가평군 가평읍 달전리 27,390.0,8,1.0,4.0,3.0,3.0,10,2906,11.4
36,2210080004,a_a005705,아모레퍼시픽미술관,서울 용산구 한강로2가 424,60.0,3,0.0,4.0,3.0,4.0,10,2092,12.4
38,2209030007,a_a000658,세운전자상가,서울 종로구 장사동 116-4,0.0,2,0.0,4.0,2.0,3.0,09,1746,10.6
41,2210030002,a_a003617,고양꽃전시관,경기 고양시 일산동구 장항동 906,60.0,3,0.0,1.0,4.0,4.0,10,313,8.7
43,2209240002,a_a001919,이마트 남양주점,경기 남양주시 호평동 637,60.0,4,0.0,4.0,4.0,4.0,09,2689,13.2
44,2211130005,a_a017794,아차산 4보루,경기 구리시 아천동 52-2,30.0,1,0.0,5.0,5.0,5.0,11,2107,16.5
47,2209120006,a_a001965,송도센트럴파크,인천 연수구 송도동 24-5,30.0,7,0.0,3.0,2.0,2.0,09,1822,8.1
54,2210010005,a_a003557,남도꽃정원,경기 가평군 가평읍 달전리 산 5-5,30.0,1,0.0,4.0,4.0,3.0,10,615,12.2
60,2210080012,a_a004696,서울숲,서울 성동구 성수동1가 678-1,30.0,1,1.0,5.0,5.0,5.0,10,1610,16.5
64,2209180003,a_a002054,메가박스 의정부민락,경기 의정부시 민락동 813-4,180.0,3,0.0,5.0,5.0,5.0,09,1136,16.5
65,2210010004,a_a005603,경복궁,서울 종로구 세종로 1-91,90.0,2,0.0,1.0,5.0,5.0,10,258,10.5
68,2209180002,a_a002345,아침고요수목원,경기 가평군 상면 행현리 623-3,120.0,1,1.0,5.0,5.0,5.0,09,2113,16.5
72,2210290002,a_a013857,동구릉,경기 구리시 인창동 66,60.0,2,0.0,5.0,4.0,4.0,10,864,14.7
74,2210200001,a_a009676,난지한강공원,서울 마포구 상암동 495-72,30.0,1,1.0,5.0,5.0,5.0,10,606,16.5
76,2208170006,a_a000196,북악팔각정,서울 종로구 평창동 산 6-17,60.0,7,1.0,5.0,5.0,5.0,08,1410,16.5
78,2208060004,a_a000087,두타.밀리오레,서울특별시 중구 을지로6가,60.0,4,1.0,5.0,5.0,5.0,08,918,16.5
82,2210220001,a_a003178,라온아트홀,서울 종로구 동숭동 1-61,180.0,3,0.0,5.0,5.0,5.0,10,956,16.5
88,2211060002,a_a014858,남산공원,서울 중구 예장동 산 5-6,120.0,1,0.0,4.0,3.0,4.0,11,627,12.4
91,2209030007,a_a000949,봄날아트홀,서울 종로구 동숭동 1-153,90.0,3,0.0,4.0,4.0,4.0,09,1363,13.2
94,2210160004,a_a007960,빈티지패션팩토리 용인본점,경기 용인시 처인구 모현읍 일산리 48-4,30.0,4,0.0,3.0,2.0,2.0,10,1461,8.1
103,2210020002,a_a003617,롯데백화점 일산점,경기 고양시 일산동구 장항동 784,150.0,4,0.0,5.0,5.0,5.0,10,1028,16.5
109,2208220003,b_b001670,일산동구 시내,,60.0,4,0.0,5.0,5.0,4.0,08,2867,15.5
110,2210110004,a_a003441,에버랜드,경기 용인시 처인구 포곡읍 전대리 310,120.0,6,1.0,5.0,5.0,5.0,10,2265,16.5
112,2211020002,a_a014835,여의도한강공원,서울 영등포구 여의도동 85,90.0,1,0.0,4.0,3.0,4.0,11,2324,12.4
113,2208270002,a_a001321,파주프리미엄아울렛,경기 파주시 탄현면 법흥리 1790-8,240.0,4,0.0,4.0,4.0,4.0,08,3347,13.2
114,2210220005,a_a006552,별마당도서관,서울 강남구 삼성동 159-9,60.0,4,0.0,4.0,4.0,4.0,10,1338,13.2
119,2208280003,a_a001382,두물머리,경기 양평군 양서면 양수리,120.0,1,0.0,4.0,4.0,4.0,08,911,13.2
128,2210220008,a_a007360,안양,,30.0,4,1.0,4.0,4.0,4.0,10,2171,13.2
131,2210210007,a_a008269,경의선책거리,서울 마포구 동교동 190-1,30.0,4,0.0,4.0,4.0,4.0,10,270,13.2
132,2209290004,a_a002820,롯데월드아쿠아리움,서울 송파구 신천동 29,120.0,6,0.0,5.0,5.0,5.0,09,1060,16.5
134,2210290002,a_a014022,율동공원,경기 성남시 분당구 율동 318,180.0,1,1.0,5.0,5.0,5.0,10,2637,16.5
141,2210300004,a_a012117,왕송호수,경기 의왕시 초평동,90.0,7,0.0,4.0,4.0,4.0,10,2485,13.2
143,2209070003,a_a000567,망원한강공원,서울 마포구 망원동 205-4,30.0,1,0.0,4.0,4.0,4.0,09,1120,13.2
144,2210180006,a_a009924,현대백화점유플렉스 신촌점,서울 서대문구 창천동 30-1,30.0,4,0.0,3.0,5.0,4.0,10,3641,12.5
145,2210180004,a_a004296,오이도 빨강등대,경기 시흥시 정왕동 2043,30.0,7,0.0,4.0,4.0,4.0,10,2441,13.2
151,2208270006,a_a001294,더현대서울,서울 영등포구 여의도동 22,30.0,4,0.0,4.0,2.0,3.0,08,823,10.6
153,2209140004,a_a002095,서울특별시청,서울 중구 태평로1가 31,30.0,7,0.0,1.0,5.0,5.0,09,1663,10.5
158,2210020001,a_a004263,철원한탄강 주상절리길,강원 철원군 갈말읍 군탄리 산 78-2,150.0,1,0.0,4.0,4.0,4.0,10,3113,13.2
162,2211060002,a_a011900,오이도,경기 시흥시 정왕동 1073,60.0,1,1.0,4.0,5.0,4.0,11,2438,14.0
164,2209090005,a_a002193,제이드가든수목원,강원 춘천시 남산면 서천리 산 111,210.0,1,0.0,5.0,4.0,5.0,09,2995,15.7
166,2209040005,a_a001364,현대백화점 판교점,경기 성남시 분당구 백현동 541,60.0,4,1.0,5.0,5.0,5.0,09,3638,16.5
174,2208310002,a_a001256,시흥오이도박물관,경기 시흥시 정왕동 2202-6,120.0,2,0.0,5.0,5.0,5.0,08,2003,16.5
177,2208090004,a_a000056,롯데몰 수원점,경기 수원시 권선구 서둔동 296-77,60.0,4,0.0,4.0,4.0,4.0,08,1012,13.2
180,2208110002,a_a000012,장안공원 화서문,경기 수원시 팔달구 장안동 331,0.0,2,0.0,4.0,4.0,4.0,08,2935,13.2
181,2210150004,a_a005657,노량진근린공원 송학대공원,서울 동작구 노량진동 325-2,60.0,1,0.0,5.0,5.0,5.0,10,674,16.5
186,2209170005,a_a001729,오이도 바다,,30.0,7,1.0,5.0,4.0,5.0,09,2439,15.7
189,2209170003,a_a001991,인천차이나타운 삼국지벽화거리,인천 중구 북성동3가 8-3,30.0,4,0.0,4.0,3.0,3.0,09,2853,11.4
191,2208200007,a_a000673,여의도한강공원,서울 영등포구 여의도동 85,60.0,1,1.0,5.0,4.0,4.0,08,2324,14.7
194,2208210005,a_a000982,동대문 문구완구시장,서울 종로구 창신동 390-29,60.0,4,0.0,3.0,3.0,3.0,08,869,9.9
195,2210220003,a_a006620,물의정원,경기 남양주시 조안면 진중리 95,60.0,7,0.0,5.0,5.0,5.0,10,1211,16.5
196,2210220008,a_a006475,에스엠여주375,경기 여주시 상거동 375-14,30.0,4,0.0,3.0,3.0,3.0,10,2283,9.9
198,2209280003,a_a002849,이정웅 스페이스,경기 가평군 청평면 삼회리 271-5,60.0,3,0.0,4.0,4.0,4.0,09,2751,13.2
200,2210310004,a_a014278,송도센트럴파크,인천 연수구 송도동 24-5,90.0,1,0.0,5.0,4.0,5.0,10,1822,15.7
202,2209280003,a_a004310,전쟁기념관,서울 용산구 용산동1가 8,30.0,2,0.0,5.0,4.0,5.0,09,2960,15.7
204,2210290002,a_a007887,톨장군네,경기 성남시 분당구 석운동 43-7,30.0,4,0.0,5.0,4.0,4.0,10,3303,14.7
214,2210230004,a_a005559,경춘선 시간여행 거리,,30.0,4,0.0,4.0,4.0,4.0,10,277,13.2
217,2210290005,a_a013865,스타피카소복합빌딩,서울 마포구 동교동 166-15,30.0,3,0.0,4.0,4.0,4.0,10,1964,13.2
219,2210010002,a_a004483,판교환경생태학습원,경기 성남시 분당구 삼평동 637,30.0,3,0.0,4.0,3.0,4.0,10,3354,12.4
220,2209180004,a_a001713,평화누리길 3코스(한강철책길),경기 김포시 하성면 가금리 218-5,90.0,7,0.0,3.0,3.0,3.0,09,3394,9.9
222,2210300005,a_a013688,인천세관역사공원,,30.0,2,0.0,5.0,5.0,5.0,10,2842,16.5
224,2210310003,a_a005159,화담숲,경기 광주시 도척면 도웅리 산 33,180.0,1,0.0,5.0,4.0,4.0,10,3726,14.7
225,2209250005,a_a003290,남한산성 계곡,,30.0,1,0.0,5.0,5.0,5.0,09,649,16.5
228,2210030008,a_a005677,이천 문화의거리,,0.0,4,0.0,3.0,3.0,3.0,10,2753,9.9
231,2210020007,a_a004583,남이섬,강원 춘천시 남산면 방하리 197,60.0,1,1.0,4.0,2.0,3.0,10,644,10.6
232,2208130004,a_a000094,청계천,서울 종로구 서린동 148,30.0,7,0.0,4.0,3.0,4.0,08,3124,12.4
236,2210100001,a_a005546,일산호수공원,경기 고양시 일산동구 장항동 906,60.0,1,0.0,4.0,4.0,4.0,10,2871,13.2
237,2211100003,a_a017522,시흥프리미엄아울렛,경기 시흥시 배곧동 36,120.0,4,1.0,4.0,3.0,3.0,11,2004,11.4
239,2210050003,a_a005200,인터컨티넨탈 서울코엑스,서울 강남구 삼성동 159,30.0,3,1.0,4.0,5.0,5.0,10,2861,15.0
242,2208280002,a_a001258,새마을전통시장,서울 송파구 잠실동 278,60.0,4,0.0,4.0,2.0,4.0,08,1522,11.6
243,2210300006,a_a010237,탄도항,경기 안산시 단원구 선감동 717-5,60.0,1,0.0,5.0,5.0,5.0,10,3274,16.5
244,2210020002,a_a002612,웨스틴조선 수영장,,60.0,6,1.0,5.0,5.0,5.0,10,2592,16.5
247,2210020007,a_a002681,롯데백화점 청량리점,서울 동대문구 전농동 588-1,30.0,4,0.0,4.0,4.0,2.0,10,1031,11.2
248,2208060002,a_a000104,일상비일상의틈,서울 강남구 역삼동 815-5,60.0,13,0.0,4.0,4.0,4.0,08,2874,13.2
251,2209130008,a_a001895,한강중앙공원,경기 김포시 장기동 2001-1,30.0,1,0.0,5.0,5.0,5.0,09,3518,16.5
252,2210100004,a_a005149,프로방스마을,경기 파주시 탄현면 성동리 82-1,60.0,7,0.0,3.0,4.0,4.0,10,3438,11.7
257,2210210003,a_a008663,청계산,,150.0,1,1.0,5.0,3.0,4.0,10,3120,13.9
261,2210220011,a_a009609,더현대서울,서울 영등포구 여의도동 22,60.0,4,1.0,5.0,5.0,5.0,10,823,16.5
266,2210060002,a_a005711,스타필드 고양,경기 고양시 덕양구 동산동 370,210.0,4,1.0,5.0,5.0,5.0,10,1966,16.5
268,2210230003,a_a005261,수원팔색길 화성성곽길,경기 수원시 장안구 연무동,30.0,1,1.0,4.0,4.0,4.0,10,1892,13.2
271,2210120008,a_a007221,화성관광열차안내소 연무대매표소,경기 수원시 팔달구 매향동 3-32,30.0,6,0.0,2.0,2.0,2.0,10,3741,6.6
274,2209250002,a_a001671,그랜드워커힐서울 컨벤션센터,서울 광진구 광장동 22-1,30.0,3,0.0,3.0,3.0,2.0,09,525,8.9
276,2211100002,a_a018017,광명동굴,경기 광명시 가학동 34-1,90.0,1,0.0,3.0,4.0,4.0,11,393,11.7
280,2210020003,a_a002613,LCDC서울,서울 성동구 성수동2가 275-28,30.0,4,0.0,5.0,5.0,5.0,10,80,16.5
285,2208270002,b_b003037,워터플레이 수상레저,경기 가평군 가평읍 이화리 32-2,240.0,5,0.0,5.0,5.0,5.0,08,2553,16.5
293,2209170007,a_a002116,환구단,서울 중구 소공동 87-14,30.0,2,0.0,3.0,2.0,2.0,09,3766,8.1
297,2209290003,a_a001914,화랑대철도공원,서울 노원구 공릉동 29-4,90.0,2,0.0,5.0,5.0,5.0,09,3732,16.5
298,2209220004,a_a002286,일산호수공원,경기 고양시 일산동구 장항동 906,60.0,1,0.0,5.0,5.0,5.0,09,2871,16.5
300,2209270003,a_a002021,수원화성 연무대 관광안내소,경기 수원시 팔달구 매향동 3-32,30.0,2,0.0,5.0,4.0,5.0,09,1906,15.7
301,2210020003,a_a004853,춘천삼악산호수케이블카,,90.0,6,0.0,4.0,2.0,4.0,10,3170,11.6
306,2210230006,a_a006232,허브아일랜드,경기 포천시 신북면 삼정리 517-2,150.0,6,0.0,4.0,3.0,5.0,10,3604,13.4
307,2208280001,a_a001258,잠실한강공원,서울 송파구 잠실동 1-1,60.0,1,1.0,4.0,5.0,5.0,08,2923,15.0
310,2210160007,a_a006331,중대물빛공원,경기 광주시 중대동 92,30.0,1,0.0,5.0,5.0,5.0,10,3039,16.5
311,2209160009,a_a001840,화성행궁광장,경기 수원시 팔달구 남창동 6-2,30.0,2,0.0,5.0,5.0,5.0,09,3755,16.5
315,2210020004,a_a004497,스타필드 하남,경기 하남시 신장동 45-5,120.0,4,0.0,3.0,2.0,3.0,10,1971,9.1
318,2209250012,a_a003257,금융감독원,서울 영등포구 여의도동 27,30.0,7,0.0,4.0,2.0,4.0,09,540,11.6
330,2211030006,a_a012188,경기도남한산성세계유산센터,,30.0,2,0.0,5.0,5.0,5.0,11,235,16.5
332,2210150001,a_a005857,노원문화의거리,서울 노원구 상계동 719-1,30.0,4,1.0,4.0,4.0,4.0,10,689,13.2
335,2209120002,a_a002063,카페시차,경기 김포시 대곶면 석정리 45-52,90.0,1,0.0,4.0,4.0,4.0,09,3196,13.2
337,2210220003,a_a011215,에버랜드,경기 용인시 처인구 포곡읍 전대리 310,390.0,6,0.0,3.0,4.0,3.0,10,2265,10.7
342,2209140006,a_a002104,잠실종합운동장 실내체육관,서울 송파구 잠실2동 10,210.0,5,0.0,5.0,5.0,5.0,09,2920,16.5
349,2210010003,a_a003576,국립현대미술관 서울관,서울 종로구 소격동 165-10,60.0,3,0.0,5.0,5.0,5.0,10,489,16.5
350,2210020002,a_a005696,화서공원,경기 수원시 팔달구 화서동 26-35,0.0,2,0.0,3.0,4.0,4.0,10,3736,11.7
352,2210170002,a_a007189,소풍정원 캠핑장,,570.0,1,1.0,3.0,5.0,4.0,10,1794,12.5
355,2209040002,a_a001364,나인트리프리미어호텔 서울판교,경기 성남시 수정구 시흥동 288-11,30.0,5,0.0,5.0,5.0,5.0,09,591,16.5
362,2208120005,a_a000035,낙천지,경기 포천시 영북면 산정리 448-1,30.0,1,0.0,3.0,1.0,2.0,08,604,7.3
365,2210220008,a_a009510,명동거리,서울 중구 명동2가,60.0,4,1.0,4.0,4.0,4.0,10,1148,13.2
366,2208230004,a_a000485,송도센트럴파크,인천 연수구 송도동 24-5,90.0,1,0.0,5.0,5.0,5.0,08,1822,16.5
368,2210220006,a_a003692,낙생대공원,경기 성남시 분당구 백현동,60.0,1,0.0,5.0,5.0,5.0,10,599,16.5
370,2210200004,a_a010334,양재동꽃시장,서울 서초구 양재동 232-4,30.0,4,0.0,5.0,4.0,4.0,10,2222,14.7
373,2210250006,a_a003192,신세계백화점 본점,서울 중구 충무로1가 52-5,30.0,4,1.0,3.0,4.0,4.0,10,2031,11.7
374,2210140013,a_a007568,남산케이블카,서울 중구 회현동1가 산 1-19,30.0,6,0.0,4.0,5.0,5.0,10,635,15.0
375,2209050004,a_a001233,서울특별시 광진구 광장동 워커힐 가는 산책로,,30.0,7,0.0,4.0,4.0,4.0,09,1658,13.2
376,2211050002,a_a015750,소래역사관,인천 남동구 논현동 680-2,30.0,2,0.0,4.0,3.0,3.0,11,1772,11.4
382,2210080005,a_a004321,수원화성 국궁체험장,경기 수원시 팔달구 매향동 3-32,30.0,13,0.0,4.0,4.0,4.0,10,1895,13.2
391,2210020008,a_a002636,서울식물원 식물문화센터,서울 강서구 마곡동 727-256,60.0,3,0.0,3.0,2.0,2.0,10,1630,8.1
394,2211120003,a_a017913,의정부음악도서관,경기 의정부시 신곡동 724-1,30.0,3,0.0,4.0,3.0,5.0,11,2669,13.4
397,2209240007,a_a001932,화성행궁,경기 수원시 팔달구 남창동 6-2,30.0,2,1.0,5.0,5.0,5.0,09,3752,16.5
398,2208270003,a_a001092,김포아트빌리지,경기 김포시 운양동 1325-10,60.0,3,0.0,5.0,4.0,3.0,08,562,13.7
400,2209170005,a_a002128,월미테마파크,인천 중구 북성동1가 98-580,30.0,6,1.0,4.0,4.0,4.0,09,2582,13.2
401,2211110002,a_a017772,AK플라자 AKTown점,경기 수원시 팔달구 매산로1가 18,90.0,4,0.0,4.0,4.0,4.0,11,22,13.2
403,2210220004,a_a005668,군웅숲,,30.0,13,0.0,4.0,3.0,3.0,10,499,11.4
406,2210030002,a_a005184,인천차이나타운,인천 중구 북성동2가 14,30.0,4,0.0,4.0,4.0,4.0,10,2852,13.2
407,2210280004,a_a009400,수원화성,경기 수원시 장안구 영화동 320-2,60.0,2,1.0,4.0,4.0,4.0,10,1894,13.2
408,2211120003,a_a017876,동작구민체육센터,서울 동작구 신대방동 460-1,60.0,5,1.0,4.0,3.0,3.0,11,896,11.4
409,2210150008,a_a006844,수원화성,,120.0,2,0.0,5.0,5.0,5.0,10,1894,16.5
415,2208310001,a_a001261,일산호수공원,경기 고양시 일산동구 장항동 906,90.0,1,1.0,5.0,5.0,5.0,08,2871,16.5
418,2210290005,a_a003207,롯데마트 제타플렉스,서울 송파구 잠실동 40-1,30.0,4,0.0,5.0,5.0,5.0,10,1007,16.5
431,2208270002,a_a001588,광화문광장,서울 종로구 세종로 1-68,30.0,7,0.0,4.0,4.0,4.0,08,415,13.2
432,2210290004,a_a013874,남도꽃정원,경기 가평군 가평읍 달전리 산 5-5,90.0,1,0.0,5.0,5.0,5.0,10,615,16.5
442,2208120005,a_a000195,AK& 홍대,서울 마포구 동교동 192-45,30.0,4,1.0,5.0,5.0,5.0,08,21,16.5
443,2209070005,a_a001419,신세계센트럴시티,서울 서초구 반포동 19-3,30.0,4,1.0,5.0,5.0,5.0,09,2036,16.5
445,2210010003,a_a004509,배부장찌개 광교법조단지점,경기 수원시 영통구 하동 973-4,60.0,4,0.0,5.0,5.0,5.0,10,1306,16.5
446,2210180003,a_a009550,부평문화의거리,인천 부평구 부평동 224-1,60.0,4,0.0,4.0,4.0,4.0,10,1396,13.2
447,2210220005,a_a007253,화성행궁,경기 수원시 팔달구 남창동 6-2,30.0,2,0.0,5.0,5.0,5.0,10,3752,16.5
452,2208270004,a_a000341,여의도한강공원,서울 영등포구 여의도동 85,30.0,1,0.0,5.0,5.0,5.0,08,2324,16.5
453,2211130006,a_a017952,흥인지문.광장시장,서울 종로구 종로6가 69,90.0,4,1.0,4.0,4.0,4.0,11,3800,13.2
454,2210240005,a_a010118,아트스페이스J,경기 성남시 분당구 정자동 159-3,30.0,3,0.0,5.0,5.0,5.0,10,2135,16.5
455,2209210013,a_a002722,화성행궁,경기 수원시 팔달구 남창동 6-2,90.0,2,0.0,4.0,4.0,4.0,09,3752,13.2
457,2208130004,a_a000081,흥인지문공원,서울 종로구 종로6가 65-6,30.0,1,0.0,5.0,5.0,5.0,08,3801,16.5
460,2210300004,a_a013936,킨텍스,경기 고양시 일산서구 대화동 2600,30.0,3,0.0,3.0,3.0,4.0,10,3257,10.9
466,2209180001,a_a001922,양재동꽃시장,서울 서초구 양재동 232-4,30.0,4,0.0,3.0,3.0,3.0,09,2222,9.9
469,2210230004,a_a005589,마이다스호텔&리조트,경기 가평군 청평면 삼회리 74-1,180.0,5,0.0,3.0,3.0,3.0,10,1094,9.9
471,2210010006,a_a004397,청운문학도서관,서울 종로구 청운동 4-20,60.0,2,0.0,3.0,2.0,3.0,10,3147,9.1
478,2210270003,a_a004640,이마트 포천점,경기 포천시 설운동 2,30.0,4,0.0,5.0,5.0,5.0,10,2719,16.5
480,2210190003,a_a008024,재인폭포,경기 연천군 연천읍 부곡리 193,60.0,1,1.0,5.0,5.0,5.0,10,2949,16.5
481,2210060003,a_a005423,틴틴홀,서울 종로구 동숭동 1-97,120.0,3,0.0,5.0,5.0,5.0,10,3315,16.5
485,2210240008,a_a009428,광장시장,서울 종로구 예지동 2-1,30.0,4,0.0,3.0,4.0,4.0,10,406,11.7
489,2209120005,a_a002117,인천도시역사관,인천 연수구 송도동 24-7,30.0,2,0.0,5.0,3.0,4.0,09,2834,13.9
490,2208230009,a_a001268,이촌한강공원,서울 용산구 이촌동 302-17,30.0,1,0.0,4.0,4.0,4.0,08,2764,13.2
500,2210160004,a_a008648,마포 걷고싶은길 4코스,,30.0,7,0.0,5.0,5.0,5.0,10,1102,16.5
501,2209300005,a_a001936,행리단길,경기 수원시 팔달구 장안동 290-3,60.0,4,0.0,4.0,4.0,4.0,09,3589,13.2
503,2210120005,a_a007390,"국립공원공단 북한산생태탐방원, 광륜사",서울 도봉구 도봉동 405,30.0,1,0.0,2.0,2.0,2.0,10,454,6.6
511,2209300010,a_a005096,서울숲카페거리,서울 성동구 성수동1가 668-11,30.0,4,1.0,4.0,4.0,4.0,09,1617,13.2
517,2208270008,a_a000751,반포한강공원 달빛광장,서울 서초구 반포동 115-5,60.0,1,1.0,4.0,4.0,4.0,08,1282,13.2
519,2210080003,a_a006429,광명 가구거리,경기 광명시 광명동 158-963,240.0,4,1.0,4.0,4.0,4.0,10,391,13.2
520,2208220001,a_a000440,남이섬,강원 춘천시 남산면 방하리 197,90.0,1,1.0,5.0,5.0,5.0,08,644,16.5
521,2209230003,a_a002399,용산역사박물관,서울 용산구 한강로3가 65-154,60.0,2,0.0,5.0,5.0,5.0,09,2507,16.5
522,2210270006,a_a013687,AK플라자 AKTown점,경기 수원시 팔달구 매산로1가 18,90.0,4,1.0,5.0,5.0,5.0,10,22,16.5
524,2210090003,a_a006239,롯데월드,서울 송파구 잠실동 40-1,90.0,6,1.0,4.0,4.0,4.0,10,1054,13.2
527,2210020004,a_a004277,신세계백화점 강남점,서울 서초구 반포동 19-3,30.0,4,1.0,4.0,3.0,3.0,10,2028,11.4
528,2209250003,a_a003082,수정사우나,경기 여주시 오학동 297-12,60.0,3,0.0,3.0,3.0,3.0,09,1921,9.9
536,2209170007,a_a001996,소극장혜화당,서울 종로구 동숭동 1-89,120.0,3,0.0,5.0,5.0,5.0,09,1767,16.5
537,2210310003,a_a014278,현대프리미엄아울렛 송도점,인천 연수구 송도동 168-1,120.0,4,0.0,4.0,2.0,3.0,10,3652,10.6
539,2209250003,d_d000936,전통술박물관산사원 본원,경기 포천시 화현면 화현리 512,90.0,2,0.0,5.0,5.0,5.0,09,2963,16.5
540,2209300007,a_a003447,드라마 “그해우리는” 촬영지,,0.0,2,0.0,4.0,4.0,4.0,09,924,13.2
543,2209240007,a_a003114,현대백화점 판교점,경기 성남시 분당구 백현동 541,120.0,4,0.0,4.0,3.0,4.0,09,3638,12.4
544,2210160008,a_a003829,하이커그라운드,서울 중구 다동 10,30.0,3,0.0,4.0,3.0,3.0,10,3501,11.4
545,2210290005,a_a015109,수원시립미술관,경기 수원시 팔달구 신풍동 238-1,60.0,3,0.0,4.0,4.0,4.0,10,1874,13.2
550,2208200006,a_a000721,옥천고읍냉면,경기 양평군 옥천면 옥천리 607-3,30.0,4,0.0,5.0,5.0,5.0,08,2457,16.5
552,2210200004,a_a009503,서울공예박물관,서울 종로구 안국동 175-112,30.0,2,0.0,4.0,4.0,4.0,10,1571,13.2
553,2210290003,a_a012229,애관극장,인천 중구 경동 238,120.0,3,0.0,4.0,3.0,4.0,10,2201,12.4
561,2209230002,a_a002664,베이커리 씨어터 수목원,경기 남양주시 화도읍 구암리 6-8,60.0,1,0.0,3.0,3.0,2.0,09,1327,8.9
566,2209180003,a_a001899,흑석시장,서울 동작구 흑석동 54-368,30.0,4,0.0,5.0,5.0,5.0,09,3795,16.5
567,2209170004,a_a001922,힐튼가든인 서울강남점,서울 서초구 서초동 1362-26,240.0,5,0.0,5.0,5.0,5.0,09,3807,16.5
568,2209300004,a_a004006,파주디엠지곤돌라,경기 파주시 문산읍 마정리 1360-44,60.0,2,0.0,4.0,4.0,4.0,09,3338,13.2
569,2210110006,a_a006924,콤콤오락실,서울 종로구 익선동 171-1,0.0,4,0.0,5.0,5.0,5.0,10,3241,16.5
576,2209090005,a_a001702,고석정,강원 철원군 동송읍 장흥리 725-13,90.0,13,0.0,4.0,3.0,4.0,09,305,12.4
578,2209280006,a_a004310,동대문 문구완구시장,서울 종로구 창신동 390-29,60.0,4,0.0,5.0,5.0,5.0,09,869,16.5
579,2210280004,a_a008496,신세계백화점 강남점,서울 서초구 반포동 19-3,60.0,4,1.0,4.0,4.0,4.0,10,2028,13.2
586,2209030004,a_a001281,남한산성둘레길 2코스,경기 광주시 남한산성면 산성리,30.0,7,0.0,5.0,4.0,4.0,09,656,14.7
587,2210300001,a_a011392,자라섬,경기 가평군 가평읍 달전리 30,30.0,1,0.0,5.0,5.0,5.0,10,2900,16.5
588,2210270011,a_a014216,수원화성 화홍문 안내소,경기 수원시 팔달구 북수동 33-4,0.0,2,0.0,3.0,3.0,3.0,10,1916,9.9
590,2210120002,a_a004223,시흥프리미엄아울렛,경기 시흥시 배곧동 36,60.0,4,1.0,4.0,4.0,4.0,10,2004,13.2
592,2209250004,a_a003003,경복궁,서울 종로구 세종로 1-91,90.0,2,1.0,5.0,5.0,5.0,09,258,16.5
595,2209100001,a_a001971,서울어린이대공원 동물원,서울 광진구 능동 18,180.0,6,0.0,5.0,5.0,5.0,09,1641,16.5
600,2210020006,a_a005726,가락동농수산물도매시장 수산시장,서울 송파구 가락동 600,30.0,4,0.0,5.0,5.0,5.0,10,128,16.5
602,2209260003,a_a001827,남사화훼집하장,경기 용인시 처인구 남사읍 진목리 191-1,60.0,4,0.0,5.0,4.0,4.0,09,620,14.7
603,2210020009,a_a003366,롯데월드,서울 송파구 잠실동 40-1,210.0,6,1.0,4.0,4.0,4.0,10,1054,13.2
605,2210020003,a_a004509,당거쉼터,경기 평택시 오성면 당거리 501-174,30.0,7,0.0,5.0,5.0,5.0,10,751,16.5
609,2208210008,a_a000454,송정중앙교회,광주 광산구 소촌동 755-5,60.0,2,1.0,5.0,5.0,5.0,08,1836,16.5
610,2210280003,a_a009822,숭례문,서울 중구 남대문로4가 29,30.0,2,0.0,4.0,4.0,4.0,10,1933,13.2
613,2209270003,a_a002506,광명새빛공원,경기 안양시 만안구 박달동 655,60.0,1,0.0,5.0,4.0,4.0,09,395,14.7
