,VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,VISIT_ID,RATING
23109,2210040002,a_a006209,빛의시어터,서울 광진구 광장동 22-1,60.0,3,0.0,4.0,4.0,4.0,10,1462,13.2
23111,2210280008,a_a010122,화양제일시장,서울 광진구 화양동 8-60,60.0,4,0.0,4.0,3.0,3.0,10,3758,11.4
23112,2209250003,a_a002978,크리스찬 디올 성수,서울 성동구 성수동2가 302-11,30.0,4,0.0,3.0,3.0,3.0,09,3250,9.9
23113,2210140002,a_a005857,남대문시장,서울 중구 남창동 49-1,30.0,4,1.0,4.0,4.0,4.0,10,613,13.2
23119,2208200013,a_a001079,김유신장군상,서울 중구 남창동,0.0,7,0.0,3.0,2.0,2.0,08,556,8.1
23120,2208280001,a_a001421,한울공원 해수풀장,경기 시흥시 정왕동 2590,300.0,5,0.0,5.0,5.0,5.0,08,3551,16.5
23128,2210050008,a_a004499,노들섬 식물도,,30.0,3,0.0,4.0,3.0,3.0,10,668,11.4
23133,2210220012,a_a007943,화성행궁광장,경기 수원시 팔달구 남창동 6-2,0.0,2,0.0,4.0,4.0,4.0,10,3755,13.2
23135,2208270007,a_a001294,IFC몰,서울 영등포구 여의도동 23-1,120.0,4,1.0,4.0,4.0,4.0,08,68,13.2
23137,2209240005,a_a002853,문경오미자테마공원,경북 문경시 문경읍 진안리 347,60.0,6,0.0,5.0,5.0,5.0,09,1195,16.5
23141,2209200002,a_a002497,소피아그린CC,경기 여주시 점동면 현수리 산 13,390.0,5,1.0,5.0,5.0,5.0,09,1795,16.5
23144,2210300003,a_a012199,방아머리해수욕장,경기 안산시 단원구 대부북동,60.0,1,0.0,5.0,4.0,4.0,10,1291,14.7
23146,2210230003,a_a009510,북촌한옥마을,서울 종로구 가회동 31-31,210.0,7,1.0,4.0,4.0,4.0,10,1418,13.2
23154,2210280005,a_a009440,이랜드크루즈,서울 영등포구 여의도동 85-5,210.0,5,1.0,4.0,2.0,3.0,10,2679,10.6
23156,2210280005,a_a010159,롯데월드,서울 송파구 잠실동 40-1,540.0,6,1.0,5.0,5.0,5.0,10,1054,16.5
23158,2210160004,a_a008182,청와대 본관,서울 종로구 세종로 1,60.0,2,0.0,4.0,4.0,4.0,10,3141,13.2
23160,2210220002,a_a008269,교보문고 광화문점,서울 종로구 세종로 119,60.0,4,0.0,4.0,3.0,4.0,10,426,12.4
23164,2210300002,a_a014782,시흥갯골생태공원,경기 시흥시 장곡동 724-32,90.0,1,1.0,5.0,5.0,5.0,10,2000,16.5
23169,2208300002,a_a001513,신세계백화점 본점 신관,서울 중구 충무로1가 54,30.0,4,0.0,4.0,3.0,3.0,08,2032,11.4
23173,2210010010,a_a003937,수원화성 팔달문,경기 수원시 팔달구 팔달로2가 138,60.0,2,1.0,5.0,5.0,5.0,10,1909,16.5
23175,2210260005,a_a010009,상촌재,서울 종로구 옥인동 19-16,30.0,2,0.0,5.0,3.0,5.0,10,1521,14.9
23176,2209250004,a_a002758,양재시민의숲,서울 서초구 양재동 236,90.0,1,0.0,5.0,5.0,5.0,09,2223,16.5
23180,2210310001,a_a014536,트리플스트리트,인천 연수구 송도동 176-1,420.0,4,1.0,5.0,5.0,5.0,10,3312,16.5
23181,2211120006,a_a018045,영풍문고 강남역점,서울 강남구 역삼동 820-8,30.0,3,1.0,4.0,4.0,4.0,11,2389,13.2
23184,2209240003,a_a002619,남산서울타워,서울 용산구 용산동2가 산 1-3,60.0,7,1.0,5.0,5.0,5.0,09,632,16.5
23185,2210310006,a_a015349,화성행궁,경기 수원시 팔달구 남창동 6-2,60.0,2,1.0,5.0,5.0,5.0,10,3752,16.5
23186,2211120008,a_a017744,스타버스코인노래연습장 신림점,서울 관악구 신림동 1641-9,30.0,3,0.0,4.0,4.0,4.0,11,1957,13.2
23187,2208280006,a_a000751,마루아트홀,서울 종로구 동숭동 1-58,90.0,3,0.0,5.0,5.0,5.0,08,1086,16.5
23189,2209290006,a_a001936,수원화성 팔달문,경기 수원시 팔달구 팔달로2가 138,30.0,2,0.0,4.0,4.0,4.0,09,1909,13.2
23199,2210280007,a_a007027,화성행궁,경기 수원시 팔달구 남창동 6-2,60.0,2,0.0,5.0,5.0,5.0,10,3752,16.5
23205,2210020002,a_a003433,시흥갯골생태공원,경기 시흥시 장곡동 724-32,60.0,1,0.0,5.0,4.0,4.0,10,2000,14.7
23210,2210010002,a_a003554,"서울둘레길 5코스 관악,호암산코스",서울 관악구 신림동,90.0,7,1.0,5.0,5.0,5.0,10,1594,16.5
23212,2210060006,a_a003621,예그린씨어터,서울 종로구 동숭동 1-8,0.0,3,0.0,5.0,5.0,5.0,10,2394,16.5
23215,2210290002,a_a006340,서울숲,서울 성동구 성수동1가 678-1,30.0,1,1.0,4.0,3.0,4.0,10,1610,12.4
23224,2209290001,a_a003636,수원화성,경기 수원시 장안구 영화동 320-2,30.0,2,1.0,5.0,5.0,5.0,09,1894,16.5
23229,2209260002,a_a003134,교복몰 잠실점,서울 송파구 잠실동 40,60.0,4,0.0,3.0,3.0,3.0,09,428,9.9
23232,2210140007,a_a007568,경복궁,서울 종로구 세종로 1-91,120.0,2,0.0,5.0,5.0,5.0,10,258,16.5
23233,2210290001,a_a011277,테이크호텔,경기 광명시 일직동 512-3,90.0,4,0.0,4.0,4.0,5.0,10,3292,14.2
23243,2209180002,a_a001922,인터컨티넨탈 서울코엑스,서울 강남구 삼성동 159,120.0,4,0.0,4.0,3.0,3.0,09,2861,11.4
23244,2209170005,a_a001954,문강 유황온천원탕사우나,충북 충주시 살미면 문강리 146,60.0,6,0.0,4.0,3.0,3.0,09,1193,11.4
23246,2210300003,a_a008178,올림픽공원,서울 송파구 방이동 88-3,30.0,1,1.0,5.0,5.0,5.0,10,2472,16.5
23247,2210020007,a_a003779,묘문사,경기 남양주시 별내동 866,60.0,2,0.0,4.0,3.0,3.0,10,1179,11.4
